DEV_ID
YSRDPM250000008678
YSRDPM250000008681
YSRDPM250000008689
YSRDPM250000008692
YSRDPM250000008697
YSRDPM250000008699
YSRDPM250000008702
YSRDPM250000008704
YSRDPM250000008706
YSRDPM250000008708
YSRDPM250000008717
YSRDPM250000008718
YSRDPM250000008722
YSRDPM250000008724
YSRDPM250000008740
YSRDPM250000008750
YSRDPM250000008753
YSRDPM250000008761
YSRDPM250000008776
YSRDPM250000008777
YSRDPM250000008779
YSRDPM250000008780
YSRDPM250000008785
YSRDPM250000008797
YSRDPM250000008803
YSRDPM250000008804
YSRDPM250000008806
YSRDPM250000008808
YSRDPM250000008811
YSRDPM250000008814
YSRDPM250000008817
YSRDPM250000008822
YSRDPM250000008824
YSRDPM250000008826
YSRDPM250000008829
YSRDPM250000008834
YSRDPM250000008855
YSRDPM250000008871
YSRDPM250000008876
YSRDPM250000008925
YSRDPM250000008927
YSRDPM250000008935
YSRDPM250000008939
YSRDPM250000008941
YSRDPM250000008951
YSRDPM250000008979
YSRDPM250000008984
YSRDPM250000008987
YSRDPM250000008990
YSRDPM250000008998
YSRDPM250000009031
YSRDPM250000009034
YSRDPM250000009037
YSRDPM250000009039
YSRDPM250000009040
YSRDPM250000009042
YSRDPM250000009043
YSRDPM250000009050
YSRDPM250000009055
YSRDPM250000009065
YSRDPM10P500000133
YSRDPM10P500000134
YSRDPM10P500000135
YSRDPM10P500000136
YSRDPM10P500000138
YSRDPM10P500000139
YSRDPM10P500000140
YSRDPM10P500000141
YSRDPM10P500000142
YSRDPM10P500000143
YSRDPM10P500000144
YSRDPM10P500000145
YSRDPM10P500000148
YSRDPM10P500000149
YSRDPM10P500000150
YSRDPM10P500000151
YSRDPM10P500000152
YSRDPM10P500000153
YSRDPM10P500000154
YSRDPM10P500000156
YSRDPM10P500000157
YSRDPM10P500000158
YSRDPM10P500000159
YSRDPM10P500000161
YSRDPM10P500000162
YSRDPM10P500000163
