,时间,赵辛店村,赵辛店村_root,相对偏差
12,2018-12-17 12:00:00,45.54102357113364,43.0,0.05909357142171262
13,2018-12-17 11:00:00,45.42488888862779,40.4,0.1243784378373216
14,2018-12-17 10:00:00,37.96914445852751,36.3,0.045981941006267554
15,2018-12-17 09:00:00,29.33733678483532,30.1,0.025337648344341605
30,2018-12-16 18:00:00,115.21770142254519,98.4,0.17091159982261364
31,2018-12-16 17:00:00,111.6204209913031,89.9,0.24160646263963403
32,2018-12-16 16:00:00,103.5856458308915,90.6,0.14332942418202538
33,2018-12-16 15:00:00,70.7399538874179,56.5,0.25203458207819285
34,2018-12-16 14:00:00,65.10703326435213,55.0,0.18376424117003864
35,2018-12-16 13:00:00,77.56315813625625,65.4,0.1859810112577407
36,2018-12-16 12:00:00,91.95486990624129,77.3,0.18958434548824435
37,2018-12-16 11:00:00,95.40316613696646,96.1,0.007251132809922295
38,2018-12-16 10:00:00,97.8720546339075,89.1,0.09845179162634682
39,2018-12-16 09:00:00,90.22897284938891,78.1,0.15530054864774542
40,2018-12-16 08:00:00,90.11503041699568,83.3,0.08181309024004421
41,2018-12-16 07:00:00,91.25702125331966,83.8,0.08898593381049721
42,2018-12-16 06:00:00,91.76558985726481,90.8,0.010634249529348204
43,2018-12-16 05:00:00,97.70271556807609,88.7,0.10149622962881719
44,2018-12-16 04:00:00,107.39121669353698,96.3,0.11517358975635492
45,2018-12-16 03:00:00,104.59723404369798,100.4,0.041805119957151145
46,2018-12-16 02:00:00,114.8166570703285,107.4,0.06905639730287241
47,2018-12-16 01:00:00,121.04862996013186,113.3,0.06839037917150807
48,2018-12-16 00:00:00,124.75193636026157,109.3,0.1413717873765926
49,2018-12-15 23:00:00,127.55553386176175,114.4,0.11499592536505017
50,2018-12-15 22:00:00,125.45756313780545,107.7,0.16487988057386674
51,2018-12-15 21:00:00,118.98328917742566,113.3,0.050161422572159435
52,2018-12-15 20:00:00,118.10094262480938,104.4,0.1312350826131166
53,2018-12-15 19:00:00,103.66562257352005,99.4,0.04291370798309907
54,2018-12-15 18:00:00,94.79516352662098,90.3,0.049780326983621094
55,2018-12-15 17:00:00,92.34235301369584,83.5,0.10589644327779452
56,2018-12-15 16:00:00,93.30084920415551,80.4,0.16045832343476996
57,2018-12-15 15:00:00,93.76076637581396,79.8,0.17494694706533787
58,2018-12-15 14:00:00,88.14902691573498,75.2,0.17219450685817786
59,2018-12-15 13:00:00,82.86093939721995,70.6,0.17366769684447533
60,2018-12-15 12:00:00,75.2062922825111,68.0,0.10597488650751619
61,2018-12-15 11:00:00,75.14267902417512,65.8,0.14198600340691683
62,2018-12-15 10:00:00,79.78686740565512,63.5,0.2564861008764585
63,2018-12-15 09:00:00,70.54408047471193,66.2,0.0656205509775216
64,2018-12-15 08:00:00,72.81165503556481,66.7,0.09162901102795815
65,2018-12-15 07:00:00,71.78980317587997,65.4,0.09770341247522876
66,2018-12-15 06:00:00,70.46417535849706,64.7,0.0890908092503409
67,2018-12-15 05:00:00,72.87319717171982,64.0,0.13864370580812224
68,2018-12-15 04:00:00,75.70437449949169,66.1,0.14530067321470044
69,2018-12-15 03:00:00,82.26776548478362,70.5,0.16691865935863295
70,2018-12-15 02:00:00,85.34547934587496,71.9,0.1870024943793457
71,2018-12-15 01:00:00,91.51263242440038,80.4,0.1382168211990096
72,2018-12-15 00:00:00,92.42606436951908,81.7,0.13128597759509278
74,2018-12-14 22:00:00,77.49555315120217,74.0,0.04723720474597532
75,2018-12-14 21:00:00,75.88967807551994,79.6,0.046612084478392664
76,2018-12-14 20:00:00,73.38375364514744,62.7,0.17039479497842797
77,2018-12-14 19:00:00,68.84296861363876,56.3,0.22278807484260682
78,2018-12-14 18:00:00,79.27216253167047,86.2,0.08036934418015694
79,2018-12-14 17:00:00,95.58437557172314,77.9,0.2270138070824536
80,2018-12-14 16:00:00,98.39729216874451,85.2,0.1548977954077994
81,2018-12-14 15:00:00,89.48978689614003,85.5,0.046664174223860024
82,2018-12-14 14:00:00,74.03109265745094,65.0,0.1389398870377068
83,2018-12-14 13:00:00,57.546176546269514,52.8,0.08988970731571055
84,2018-12-14 12:00:00,38.769933261252255,38.6,0.004402416094617978
88,2018-12-14 08:00:00,28.044018233958173,35.0,0.19874233617262363
89,2018-12-14 07:00:00,28.458784333712156,32.2,0.11618682193440516
90,2018-12-14 06:00:00,33.314575520223606,33.5,0.005535059097802805
91,2018-12-14 05:00:00,35.81750041892056,35.0,0.0233571548263017
92,2018-12-14 04:00:00,35.49692332899312,35.6,0.0028954121069348815
93,2018-12-14 03:00:00,39.02042308872801,39.1,0.0020352151220458413
94,2018-12-14 02:00:00,36.9169237705825,37.5,0.01554869945113334
95,2018-12-14 01:00:00,37.558689604520126,33.5,0.12115491356776495
96,2018-12-14 00:00:00,36.25457644281934,33.8,0.07262060481714039
101,2018-12-13 19:00:00,33.35318693289972,33.5,0.004382479614933807
102,2018-12-13 18:00:00,26.066538050810745,33.8,0.22880064938429742
121,2018-12-12 23:00:00,39.434794831178664,39.7,0.006680230952678565
122,2018-12-12 22:00:00,46.04754681485325,54.4,0.15353774237402115
123,2018-12-12 21:00:00,58.8516492121556,58.5,0.006011097643685468
124,2018-12-12 20:00:00,57.61117380586783,56.1,0.026937144489622585
125,2018-12-12 19:00:00,50.23019051612673,49.3,0.01886796178756056
126,2018-12-12 18:00:00,34.81247097448151,39.9,0.12750699312076405
127,2018-12-12 17:00:00,32.53175386223518,41.6,0.2179866860039621
128,2018-12-12 16:00:00,31.83198804956214,37.9,0.16010585621208076
