,时间,丰台街道,丰台街道_root,相对偏差
12,2018-12-17 12:00:00,42.512262486941744,43.6,0.024948108097666462
13,2018-12-17 11:00:00,44.00319368759091,44.5,0.011164186795709928
14,2018-12-17 10:00:00,42.62038924247292,44.4,0.04008132336772705
15,2018-12-17 09:00:00,33.841030127510116,42.9,0.21116479889253806
30,2018-12-16 18:00:00,111.23220154878327,111.2,0.00028958227323078216
31,2018-12-16 17:00:00,106.9955319695501,115.8,0.07603167556519773
32,2018-12-16 16:00:00,52.24506228977657,49.3,0.059737571800741844
33,2018-12-16 15:00:00,33.868907086311395,33.3,0.01708429688622818
34,2018-12-16 14:00:00,72.92230671584993,69.3,0.05226993817965268
35,2018-12-16 13:00:00,93.81412802503537,83.1,0.1289305418175136
36,2018-12-16 12:00:00,111.22334286094629,108.2,0.027942170618727228
37,2018-12-16 11:00:00,123.41925699249084,117.2,0.053065332700433794
38,2018-12-16 10:00:00,122.73892351231274,116.4,0.05445810577588257
39,2018-12-16 09:00:00,128.3902174782467,122.2,0.05065644417550498
40,2018-12-16 08:00:00,124.27192105723213,122.7,0.012811092560979067
41,2018-12-16 07:00:00,123.05893735296813,121.3,0.014500720139885676
42,2018-12-16 06:00:00,121.0307739741912,121.7,0.005498981313137198
43,2018-12-16 05:00:00,124.49173528181807,114.7,0.08536822390425512
44,2018-12-16 04:00:00,126.69649846733466,120.8,0.0488120734050883
45,2018-12-16 03:00:00,137.3253595999534,123.7,0.11014842037149068
46,2018-12-16 02:00:00,131.05503765863088,143.0,0.08353120518439944
47,2018-12-16 01:00:00,132.8194995410407,142.8,0.06989145979663383
48,2018-12-16 00:00:00,138.67528743606218,148.4,0.0655304081127886
49,2018-12-15 23:00:00,143.79949832304467,146.0,0.015071929294214565
50,2018-12-15 22:00:00,138.74939027329708,147.8,0.06123551912518897
51,2018-12-15 21:00:00,139.29146047290584,145.6,0.04332788136740491
52,2018-12-15 20:00:00,135.1690261609634,142.5,0.051445430449379666
53,2018-12-15 19:00:00,116.72071562301358,123.4,0.0541271019204735
54,2018-12-15 18:00:00,99.86140044571421,106.6,0.0632138794961143
55,2018-12-15 17:00:00,100.32784122072786,107.0,0.062356624105347085
56,2018-12-15 16:00:00,104.60457059537843,108.4,0.035013186389497894
57,2018-12-15 15:00:00,98.88660793030732,103.7,0.04641650983310205
58,2018-12-15 14:00:00,96.86718191847325,101.0,0.040918990906205446
59,2018-12-15 13:00:00,102.37199699163192,100.2,0.02167661668295324
60,2018-12-15 12:00:00,99.36918477146664,92.4,0.0754240776132752
61,2018-12-15 11:00:00,90.9717400913717,90.0,0.010797112126352223
62,2018-12-15 10:00:00,99.92025946956444,90.5,0.10409126485706566
63,2018-12-15 09:00:00,96.39047162193675,88.4,0.0903899504743976
64,2018-12-15 08:00:00,96.2409486956874,85.2,0.12958859971464073
65,2018-12-15 07:00:00,92.76759881867731,82.3,0.12718832100458466
66,2018-12-15 06:00:00,90.26628768007033,85.2,0.0594634704233607
67,2018-12-15 05:00:00,89.73384215561377,80.2,0.11887583735179262
68,2018-12-15 04:00:00,88.98762724820479,79.2,0.12358115212379779
69,2018-12-15 03:00:00,97.3367355985913,84.7,0.14919404484759505
70,2018-12-15 02:00:00,94.70078170122167,88.4,0.0712758110997926
71,2018-12-15 01:00:00,105.19053481387937,94.2,0.1166723440963839
72,2018-12-15 00:00:00,105.29492192004672,91.6,0.1495078812232175
74,2018-12-14 22:00:00,78.87444590961667,79.0,0.0015892922833333177
75,2018-12-14 21:00:00,72.99071984908139,73.9,0.012304196900116627
76,2018-12-14 20:00:00,66.20463191470105,64.9,0.02010218666719642
77,2018-12-14 19:00:00,59.93130461784907,60.6,0.011034577263216652
78,2018-12-14 18:00:00,53.61711789083964,54.0,0.00709040942889561
79,2018-12-14 17:00:00,65.62767938730784,63.3,0.03677218621339398
80,2018-12-14 16:00:00,88.84555826873319,87.1,0.020040852683503918
81,2018-12-14 15:00:00,93.14655988610644,93.8,0.006966312514856633
82,2018-12-14 14:00:00,89.25715205231494,79.1,0.12840900192559979
83,2018-12-14 13:00:00,84.11561991539027,73.0,0.15226876596425026
84,2018-12-14 12:00:00,52.717828063684095,46.6,0.13128386402755565
85,2018-12-14 11:00:00,37.227809529068864,41.1,0.09421388007131722
86,2018-12-14 10:00:00,33.3133323302281,37.9,0.12102025513910024
87,2018-12-14 09:00:00,31.583843520675362,36.1,0.12510128751591798
90,2018-12-14 06:00:00,31.501310497867262,36.7,0.14165366490824904
91,2018-12-14 05:00:00,34.996301628349364,38.0,0.0790446939908062
92,2018-12-14 04:00:00,34.65371656792535,35.2,0.015519415683938985
93,2018-12-14 03:00:00,35.09934307715393,35.8,0.019571422425867735
94,2018-12-14 02:00:00,34.51088784928107,36.0,0.0413642264088592
95,2018-12-14 01:00:00,34.011529721087996,36.2,0.06045498008044218
96,2018-12-14 00:00:00,31.102118689689068,31.6,0.015755737668067527
119,2018-12-13 01:00:00,30.352365877294076,41.4,0.26685106576584355
120,2018-12-13 00:00:00,38.903199136490755,36.8,0.05715215044811844
121,2018-12-12 23:00:00,63.86343232237562,57.8,0.10490367339750217
122,2018-12-12 22:00:00,82.7289818767629,68.3,0.2112588854577292
123,2018-12-12 21:00:00,98.38911764249069,79.7,0.2344933204829446
124,2018-12-12 20:00:00,64.64508568331783,64.9,0.003927801489709938
125,2018-12-12 19:00:00,50.96395528487577,49.7,0.025431695872751917
126,2018-12-12 18:00:00,31.845626709700415,47.8,0.3337734997970624
127,2018-12-12 17:00:00,39.22864835853735,44.0,0.10843981003324207
128,2018-12-12 16:00:00,37.273998572931404,41.2,0.09529129677350967
129,2018-12-12 15:00:00,41.667358226796395,42.5,0.019591571134202467
134,2018-12-12 10:00:00,31.291529910127107,62.0,0.49529790467536927
135,2018-12-12 09:00:00,31.14577546252675,41.6,0.2513034744584916
136,2018-12-12 08:00:00,31.53726396896921,38.3,0.17657274232456366
137,2018-12-12 07:00:00,28.063418622211458,37.1,0.24357362204281788
138,2018-12-12 06:00:00,31.058825609007073,41.5,0.2515945636383838
139,2018-12-12 05:00:00,37.119688395652645,45.0,0.17511803565216344
140,2018-12-12 04:00:00,35.97257718919819,39.1,0.07998523812792355
141,2018-12-12 03:00:00,30.015237054418197,38.6,0.22240318511869958
142,2018-12-12 02:00:00,28.09569577199738,39.7,0.2922998546096378
143,2018-12-12 01:00:00,27.77248834231104,38.2,0.27297150936358544
162,2018-12-11 06:00:00,21.65394885783038,31.1,0.3037315479797306
163,2018-12-11 05:00:00,44.13829312053493,50.6,0.12770171698547567
164,2018-12-11 04:00:00,66.05423701978991,71.8,0.08002455404192324
165,2018-12-11 03:00:00,70.35751614970653,76.2,0.07667301640805087
166,2018-12-11 02:00:00,71.82647873423832,76.6,0.06231750999688868
167,2018-12-11 01:00:00,80.0510847831252,80.2,0.0018567982153964812
168,2018-12-11 00:00:00,88.83747627668963,86.2,0.030597172583406326
169,2018-12-10 23:00:00,90.19324646702951,85.2,0.058606179190487176
170,2018-12-10 22:00:00,85.84005757488366,78.8,0.08934083216857439
171,2018-12-10 21:00:00,79.62535104246328,77.5,0.027423884418881023
172,2018-12-10 20:00:00,66.43293681465572,72.5,0.08368363014267974
174,2018-12-10 18:00:00,60.97507619893158,66.0,0.07613520910709724
175,2018-12-10 17:00:00,60.7348527619205,62.3,0.025122748604807336
176,2018-12-10 16:00:00,61.32569216249962,64.8,0.053615861689820625
177,2018-12-10 15:00:00,61.31260107997395,64.4,0.0479409770190381
178,2018-12-10 14:00:00,62.63291285816899,66.1,0.052452150405915304
179,2018-12-10 13:00:00,65.20276696981652,66.1,0.013573873376451917
180,2018-12-10 12:00:00,63.969304354585304,63.8,0.0026536732693621824
181,2018-12-10 11:00:00,53.31431174484105,60.2,0.11438020357406899
182,2018-12-10 10:00:00,47.557341883553484,56.3,0.1552870002921228
183,2018-12-10 09:00:00,54.69172328446147,59.2,0.0761533228976104
184,2018-12-10 08:00:00,50.571217576341134,59.4,0.14863270073499774
185,2018-12-10 07:00:00,46.49766893144709,55.6,0.16371099044159917
186,2018-12-10 06:00:00,45.74778196070307,56.7,0.1931608119805455
187,2018-12-10 05:00:00,49.70934612820084,60.3,0.17563273419235748
188,2018-12-10 04:00:00,51.27279637157894,58.6,0.12503760458056415
189,2018-12-10 03:00:00,49.38571678410967,54.2,0.08882441357731244
190,2018-12-10 02:00:00,48.05361424685927,56.0,0.14189974559179877
191,2018-12-10 01:00:00,69.7696267636262,68.5,0.018534697279214692
192,2018-12-10 00:00:00,80.15176700673406,77.1,0.039581932642465206
193,2018-12-09 23:00:00,92.5989802732556,86.5,0.07050844246538272
194,2018-12-09 22:00:00,123.99846386816034,117.9,0.05172573255437096
195,2018-12-09 21:00:00,103.29108068816917,115.2,0.10337603569297595
196,2018-12-09 20:00:00,101.66642765577988,108.2,0.06038421759907688
197,2018-12-09 19:00:00,109.08007584330984,115.2,0.05312434163793542
198,2018-12-09 18:00:00,81.98803583155608,99.4,0.17517066567851036
199,2018-12-09 17:00:00,70.04602207078058,71.2,0.016207555185666047
200,2018-12-09 16:00:00,82.18501117557834,87.5,0.06074272942196184
201,2018-12-09 15:00:00,67.01760717816991,73.4,0.08695358067888412
202,2018-12-09 14:00:00,55.27488745558784,51.2,0.07958764561694989
203,2018-12-09 13:00:00,42.55810652032835,42.8,0.005651716814758076
204,2018-12-09 12:00:00,32.92966048816599,43.2,0.23773934055171317
205,2018-12-09 11:00:00,35.638600740328506,52.1,0.3159577593027158
206,2018-12-09 10:00:00,10.33584877017985,44.8,0.7692890899513426
207,2018-12-09 09:00:00,7.950700691435221,49.5,0.8393797840114097
