,时间,东高地街道,东高地街道_root,相对偏差
34,2018-12-16 14:00:00,84.1972301566283,51.0,0.6509260815025155
35,2018-12-16 13:00:00,94.72582411785991,52.1,0.8181540137785012
36,2018-12-16 12:00:00,112.7652823307109,61.2,0.8425699727240343
37,2018-12-16 11:00:00,131.59461032364084,68.8,0.9127123593552448
38,2018-12-16 10:00:00,132.7103845175252,66.8,0.9866824029569642
39,2018-12-16 09:00:00,140.171471185789,68.5,1.0462988494275764
40,2018-12-16 08:00:00,152.8123320521082,84.8,0.8020322175956155
41,2018-12-16 07:00:00,153.139628291349,74.6,1.0528100307151342
42,2018-12-16 06:00:00,166.90272107546122,81.4,1.0504019788140198
43,2018-12-16 05:00:00,162.92602089160653,79.1,1.059747419615759
44,2018-12-16 04:00:00,166.44893544957267,78.8,1.1122961351468614
45,2018-12-16 03:00:00,173.86141698511344,85.7,1.0287213183793866
46,2018-12-16 02:00:00,176.3432673483949,90.3,0.952860103525968
47,2018-12-16 01:00:00,174.52726936952564,88.2,0.9787672264118553
48,2018-12-16 00:00:00,186.09370558802888,91.6,1.031590672358394
49,2018-12-15 23:00:00,184.8225268994584,92.2,1.0045827212522604
50,2018-12-15 22:00:00,177.6010413829296,89.2,0.9910430648310492
51,2018-12-15 21:00:00,171.12282888073693,87.0,0.9669290675946773
52,2018-12-15 20:00:00,167.1410558089254,84.6,0.9756625982142482
53,2018-12-15 19:00:00,168.2683128191718,87.6,0.9208711509037878
54,2018-12-15 18:00:00,126.96888486326941,67.6,0.8782379417643406
55,2018-12-15 17:00:00,96.6239686952978,57.3,0.6862821761832079
56,2018-12-15 16:00:00,91.96464357388959,55.5,0.6570206049349475
57,2018-12-15 15:00:00,92.50476372243924,55.5,0.6667524995034096
58,2018-12-15 14:00:00,89.74687911834162,53.3,0.6838063624454339
59,2018-12-15 13:00:00,87.41626296263605,53.9,0.6218230605312812
60,2018-12-15 12:00:00,89.96852769708798,53.3,0.6879648723656282
61,2018-12-15 11:00:00,91.21121689384647,56.4,0.6172201576923133
62,2018-12-15 10:00:00,96.16732378964355,56.5,0.7020765272503282
63,2018-12-15 09:00:00,100.10944932075326,58.3,0.717143213048941
64,2018-12-15 08:00:00,98.2553356931684,58.4,0.6824543783076782
65,2018-12-15 07:00:00,94.08250532823713,58.2,0.6165378922377514
66,2018-12-15 06:00:00,88.06862314826124,55.2,0.5954460715264717
67,2018-12-15 05:00:00,83.5689838190895,53.4,0.5649622438031742
68,2018-12-15 04:00:00,84.92120065251763,52.5,0.6175466790955738
69,2018-12-15 03:00:00,81.84909209953334,50.6,0.6175709901093545
70,2018-12-15 02:00:00,76.7938886241947,49.1,0.5640303182117045
71,2018-12-15 01:00:00,75.09595137494941,48.1,0.5612463903315885
72,2018-12-15 00:00:00,72.59998228067502,47.2,0.5381352178109113
74,2018-12-14 22:00:00,62.4700834863163,43.1,0.4494218906337888
75,2018-12-14 21:00:00,58.265625053063744,42.5,0.37095588360149984
76,2018-12-14 20:00:00,52.357800787383184,38.7,0.35291474902798914
77,2018-12-14 19:00:00,47.57749628559085,35.1,0.35548422466070784
79,2018-12-14 17:00:00,43.20949163370408,30.1,0.43553128351176346
80,2018-12-14 16:00:00,49.99617769013152,33.8,0.479176854737619
81,2018-12-14 15:00:00,71.03782502723963,45.1,0.5751180715574198
82,2018-12-14 14:00:00,101.93568735632984,57.5,0.7727945627187798
83,2018-12-14 13:00:00,99.31812428407024,55.1,0.8025067928143418
84,2018-12-14 12:00:00,66.89737723587008,43.3,0.5449740701124731
85,2018-12-14 11:00:00,50.514628499302155,35.6,0.4189502387444425
119,2018-12-13 01:00:00,62.26358602459862,45.8,0.35946694376852883
120,2018-12-13 00:00:00,78.03621785001222,50.3,0.5514158618292689
121,2018-12-12 23:00:00,104.1959014534657,58.1,0.7933890095260876
122,2018-12-12 22:00:00,128.46654889128075,65.7,0.9553508202630251
123,2018-12-12 21:00:00,128.4962205116827,65.3,0.9677828562279129
124,2018-12-12 20:00:00,108.298618362625,62.8,0.7245002923984875
125,2018-12-12 19:00:00,98.00765138926955,56.6,0.7315839468068825
126,2018-12-12 18:00:00,60.222301618495315,45.5,0.3235670685383586
127,2018-12-12 17:00:00,57.77509116402007,41.0,0.40914856497609925
128,2018-12-12 16:00:00,50.15953395293209,40.1,0.25086119583371785
129,2018-12-12 15:00:00,48.643634243037184,37.7,0.2902820754121268
163,2018-12-11 05:00:00,42.035717918222865,33.4,0.2585544286893074
164,2018-12-11 04:00:00,61.63530777908742,44.8,0.3757881200689157
165,2018-12-11 03:00:00,66.64675073401149,49.0,0.36013777008186715
166,2018-12-11 02:00:00,66.44889826684283,49.2,0.35058736314721195
167,2018-12-11 01:00:00,72.35076799367614,51.5,0.40486928143060474
168,2018-12-11 00:00:00,65.50235394882687,48.1,0.3617953003914109
