,时间,方庄地区,方庄地区_root,相对偏差
30,2018-12-16 18:00:00,93.8178707983046,64.4,0.45679923599851846
31,2018-12-16 17:00:00,39.05057354797148,31.0,0.25969592090230587
34,2018-12-16 14:00:00,63.210188785271235,46.2,0.36818590444310023
35,2018-12-16 13:00:00,77.17454001388317,47.5,0.6247271581870142
36,2018-12-16 12:00:00,101.2072460124864,62.4,0.621910993789846
37,2018-12-16 11:00:00,110.30810650737966,66.6,0.6562778754861812
38,2018-12-16 10:00:00,111.52320775084738,73.2,0.5235410894924505
39,2018-12-16 09:00:00,116.24172414457891,72.7,0.59892330322667
40,2018-12-16 08:00:00,125.65709639296902,77.2,0.6276825957638474
53,2018-12-15 19:00:00,119.69856486035592,81.4,0.47049833980781214
80,2018-12-14 16:00:00,55.59285428705045,51.5,0.07947289877767864
81,2018-12-14 15:00:00,69.65852683032605,57.4,0.21356318519731804
82,2018-12-14 14:00:00,87.85837804175159,63.2,0.3901642095213859
83,2018-12-14 13:00:00,67.79324898797273,51.4,0.3189348052134773
84,2018-12-14 12:00:00,57.33422697997669,45.1,0.27126889090857403
90,2018-12-14 06:00:00,33.8602519366346,35.8,0.0541829067979162
91,2018-12-14 05:00:00,34.36525925526527,36.0,0.04540946513152022
120,2018-12-13 00:00:00,62.57359741236304,45.0,0.39052438694140096
121,2018-12-12 23:00:00,75.19931261016703,58.8,0.2788998743225686
122,2018-12-12 22:00:00,97.26490402508753,72.3,0.34529604460701985
123,2018-12-12 21:00:00,89.69436088095935,69.2,0.296161284406927
124,2018-12-12 20:00:00,77.14066593732102,65.1,0.18495646601107565
125,2018-12-12 19:00:00,63.909626543951745,53.9,0.18570735703064464
126,2018-12-12 18:00:00,48.702465199988815,45.9,0.061055886709996
127,2018-12-12 17:00:00,41.57800812061125,30.3,0.3722114891290842
128,2018-12-12 16:00:00,42.58734778987729,41.0,0.03871579975310468
129,2018-12-12 15:00:00,42.22110400818435,36.8,0.147312608918053
163,2018-12-11 05:00:00,42.704255689192344,32.9,0.29800169268061844
164,2018-12-11 04:00:00,61.96885143294353,47.7,0.29913734660258967
165,2018-12-11 03:00:00,63.310462237870745,46.3,0.3673965926105993
166,2018-12-11 02:00:00,63.839964051810924,50.9,0.2542232623145565
167,2018-12-11 01:00:00,68.30798938434845,50.6,0.3499602645128151
168,2018-12-11 00:00:00,78.06826528795939,55.7,0.4015846550800608
169,2018-12-10 23:00:00,60.94271101307769,45.4,0.342350462843121
170,2018-12-10 22:00:00,58.276774751794186,49.1,0.18689968944591007
171,2018-12-10 21:00:00,58.649533617332516,48.6,0.2067805271056073
172,2018-12-10 20:00:00,56.948747388782735,50.3,0.13218185663583973
174,2018-12-10 18:00:00,53.40662446631933,46.5,0.14852955841546944
175,2018-12-10 17:00:00,52.731969686966735,45.4,0.16149712966887086
176,2018-12-10 16:00:00,55.617494006845845,45.7,0.2170129979616158
177,2018-12-10 15:00:00,53.50869520029311,48.2,0.11013890457039643
178,2018-12-10 14:00:00,56.51905162043309,49.4,0.14411035668892896
179,2018-12-10 13:00:00,56.2564191541889,46.3,0.2150414504144471
180,2018-12-10 12:00:00,53.45090273565172,46.3,0.15444714331861165
181,2018-12-10 11:00:00,52.673873817741146,44.8,0.17575611200315067
182,2018-12-10 10:00:00,50.252517053382064,41.1,0.22268897940102342
187,2018-12-10 05:00:00,51.56135113210753,38.1,0.35331630267998765
188,2018-12-10 04:00:00,62.86807926431369,40.9,0.5371168524282077
189,2018-12-10 03:00:00,61.85310212121245,34.7,0.7825101475853731
190,2018-12-10 02:00:00,57.4616375295814,41.7,0.37797691917461385
191,2018-12-10 01:00:00,57.98112806534309,42.0,0.3805030491748355
192,2018-12-10 00:00:00,60.69366961619475,47.1,0.2886129430189967
193,2018-12-09 23:00:00,76.52377159272902,53.6,0.4276823058344966
194,2018-12-09 22:00:00,83.58884760454352,59.3,0.40959270833968836
195,2018-12-09 21:00:00,83.63311336065327,60.8,0.37554462764232355
196,2018-12-09 20:00:00,82.02072996407338,60.7,0.35124761061076404
197,2018-12-09 19:00:00,83.37075261513466,64.2,0.29860985381829686
198,2018-12-09 18:00:00,74.87353549602365,63.2,0.18470784012695643
199,2018-12-09 17:00:00,82.46072133399969,59.0,0.3976393446440625
200,2018-12-09 16:00:00,73.2750297417223,60.7,0.20716688207120762
201,2018-12-09 15:00:00,65.01345568347573,50.1,0.29767376613724
202,2018-12-09 14:00:00,48.09337078374686,37.0,0.29982083199315845
207,2018-12-09 09:00:00,21.900074387925017,30.2,0.27483197390976766
211,2018-12-09 05:00:00,22.470141975704056,41.1,0.4532812171361544
212,2018-12-09 04:00:00,22.516870842635008,36.9,0.38978669803157157
213,2018-12-09 03:00:00,23.1155115242351,32.0,0.27764026486765314
214,2018-12-09 02:00:00,24.125753897142495,33.6,0.28197161020409245
215,2018-12-09 01:00:00,21.214191234048887,32.1,0.33912176840969205
290,2018-12-05 22:00:00,49.95031886269186,32.6,0.5322183700212226
291,2018-12-05 21:00:00,61.85236117223043,42.0,0.4726752660054864
292,2018-12-05 20:00:00,57.716889681544544,42.2,0.3676988076195389
293,2018-12-05 19:00:00,45.961622419444105,41.7,0.10219718032240051
294,2018-12-05 18:00:00,57.21729449889912,41.7,0.3721173740743194
295,2018-12-05 17:00:00,42.906658261368335,37.0,0.15963941246941446
296,2018-12-05 16:00:00,49.81965716722966,33.4,0.49160650201286404
297,2018-12-05 15:00:00,45.42192226966041,34.1,0.33202118092845784
298,2018-12-05 14:00:00,51.776649053213305,40.0,0.2944162263303326
299,2018-12-05 13:00:00,55.484852365062714,38.7,0.4337171153762974
300,2018-12-05 12:00:00,48.876480002145044,36.4,0.3427604396193694
301,2018-12-05 11:00:00,46.48406926776277,35.1,0.32433245777101904
302,2018-12-05 10:00:00,42.060375979561826,32.1,0.31029208659071106
358,2018-12-03 02:00:00,103.03307757768928,53.7,0.9186792845007314
359,2018-12-03 01:00:00,161.00623721882837,72.2,1.2300032855793404
360,2018-12-03 00:00:00,167.19831665302814,80.0,1.0899789581628518
361,2018-12-02 23:00:00,202.02362162334344,93.9,1.151476268619206
363,2018-12-02 21:00:00,167.55098491379732,79.2,1.115542738810572
364,2018-12-02 20:00:00,185.49790291498664,74.4,1.4932513832659493
365,2018-12-02 19:00:00,195.35184300272778,81.7,1.3910874296539506
366,2018-12-02 18:00:00,184.67236943063313,79.8,1.3141900931157033
367,2018-12-02 17:00:00,196.4688540756082,81.3,1.4165910710406913
368,2018-12-02 16:00:00,193.1187410911859,91.7,1.105984090416422
369,2018-12-02 15:00:00,192.5374784199106,83.7,1.3003282965341767
370,2018-12-02 14:00:00,176.31333932126282,82.5,1.1371313857122765
371,2018-12-02 13:00:00,170.8629809837467,77.7,1.1990087642695841
372,2018-12-02 12:00:00,158.9289350590537,78.4,1.0271547839165014
373,2018-12-02 11:00:00,146.89341776609805,76.6,0.9176686392441
374,2018-12-02 10:00:00,138.3959225743857,81.2,0.7043832829357846
375,2018-12-02 09:00:00,119.41706794368727,72.9,0.6380942104758198
376,2018-12-02 08:00:00,126.23341952187651,90.2,0.3994835867170345
377,2018-12-02 07:00:00,156.15591901042598,96.3,0.6215567913855242
378,2018-12-02 06:00:00,158.14100006957327,90.3,0.7512846076364703
379,2018-12-02 05:00:00,151.55713174749283,94.2,0.6088867489118135
380,2018-12-02 04:00:00,163.87481981470518,93.9,0.7452057488254011
381,2018-12-02 03:00:00,161.10423502238544,84.1,0.9156270513957842
382,2018-12-02 02:00:00,177.5756146341803,82.8,1.1446330269828542
383,2018-12-02 01:00:00,171.19650442900007,87.0,0.9677759129770124
384,2018-12-02 00:00:00,171.57033108563218,88.4,0.9408408493849792
385,2018-12-01 23:00:00,174.6242523183716,97.4,0.7928567999832811
386,2018-12-01 22:00:00,166.26720347244364,103.2,0.6111163127174771
387,2018-12-01 21:00:00,157.64150534308482,100.8,0.5639038228480637
