,时间,卢沟桥乡,卢沟桥乡_root,相对偏差
30,2018-12-16 18:00:00,97.05834084903378,49.3,0.9687290233069734
31,2018-12-16 17:00:00,77.04153087736093,43.0,0.7916635087758355
34,2018-12-16 14:00:00,69.42722771148648,35.1,0.9779836954839453
35,2018-12-16 13:00:00,107.43667748569743,50.1,1.1444446603931622
36,2018-12-16 12:00:00,122.11583215040609,52.9,1.308427828930172
37,2018-12-16 11:00:00,132.2966731493203,114.8,0.15241004485470647
38,2018-12-16 10:00:00,141.42671228184037,101.6,0.39199519962441315
39,2018-12-16 09:00:00,136.3796033968498,47.2,1.8893983770519025
40,2018-12-16 08:00:00,130.0289816662712,44.1,1.9485029856297322
41,2018-12-16 07:00:00,132.15498701604716,44.1,1.9967117237198904
42,2018-12-16 06:00:00,134.50528669620607,46.2,1.9113698419092222
43,2018-12-16 05:00:00,135.61699343392556,44.8,2.027165032007267
44,2018-12-16 04:00:00,138.13058433003167,44.5,2.104058074832172
45,2018-12-16 03:00:00,141.7152300462096,48.7,1.909963655979663
46,2018-12-16 02:00:00,150.4328451932455,55.5,1.7105017151936126
47,2018-12-16 01:00:00,160.13738590832818,52.6,2.0444369944549083
48,2018-12-16 00:00:00,164.45341220420005,54.5,2.0174938019119275
49,2018-12-15 23:00:00,166.46077438865927,55.0,2.0265595343392597
50,2018-12-15 22:00:00,160.83746428227988,53.9,1.983997482046009
51,2018-12-15 21:00:00,168.57433511093888,56.6,1.978345143302807
52,2018-12-15 20:00:00,152.49517321483876,55.1,1.767607499361865
53,2018-12-15 19:00:00,128.72979764710428,48.2,1.6707426897739475
54,2018-12-15 18:00:00,120.62998718985568,46.3,1.6053992913575743
55,2018-12-15 17:00:00,124.90691368280076,48.3,1.5860644654824176
56,2018-12-15 16:00:00,116.10481210462028,47.2,1.459847714080938
57,2018-12-15 15:00:00,102.68426441417023,64.7,0.5870829121200962
58,2018-12-15 14:00:00,100.52247590254797,100.9,0.003741566872666389
59,2018-12-15 13:00:00,101.303078721176,99.4,0.019145661178833012
60,2018-12-15 12:00:00,100.16709596861661,97.2,0.030525678689471238
61,2018-12-15 11:00:00,94.03096681746267,89.5,0.0506253275694153
62,2018-12-15 10:00:00,104.86817329029311,90.2,0.1626183291606775
63,2018-12-15 09:00:00,96.93053647715752,92.3,0.050168325863028385
64,2018-12-15 08:00:00,98.0094409417468,83.2,0.17799808824214902
65,2018-12-15 07:00:00,92.09325458552996,78.3,0.17615906239501872
66,2018-12-15 06:00:00,89.26833230720224,76.3,0.1699650367916415
67,2018-12-15 05:00:00,90.42941749988772,76.6,0.18054069843195464
68,2018-12-15 04:00:00,89.50598622825193,73.1,0.2244320961457173
69,2018-12-15 03:00:00,94.2885743387241,72.4,0.30232837484425545
70,2018-12-15 02:00:00,96.07752656872641,72.2,0.33071366438679234
71,2018-12-15 01:00:00,96.79396421272124,70.7,0.36908011616295944
72,2018-12-15 00:00:00,101.13909388400612,83.6,0.20979777373213065
74,2018-12-14 22:00:00,88.53148121956815,78.0,0.13501898999446346
75,2018-12-14 21:00:00,88.45665388019208,82.3,0.07480745905458179
76,2018-12-14 20:00:00,82.19670411195497,71.0,0.15770005791485875
77,2018-12-14 19:00:00,68.31171573107241,62.8,0.08776617406166265
78,2018-12-14 18:00:00,60.53141771344761,60.5,0.0005193010487208212
79,2018-12-14 17:00:00,83.88203576137943,77.9,0.0767912164490298
80,2018-12-14 16:00:00,90.44281497001367,98.8,0.08458689301605593
81,2018-12-14 15:00:00,83.36098762221103,84.6,0.014645536380484244
82,2018-12-14 14:00:00,83.38167854650885,79.2,0.052798971546828895
83,2018-12-14 13:00:00,67.86535776278131,61.0,0.11254684857018549
84,2018-12-14 12:00:00,45.498283404830985,45.4,0.0021648327055283447
85,2018-12-14 11:00:00,35.18133328076207,37.1,0.051716084076494154
86,2018-12-14 10:00:00,30.915543790900074,41.5,0.2550471375686729
87,2018-12-14 09:00:00,28.794550635204722,32.4,0.11127930138257028
91,2018-12-14 05:00:00,32.39535765229738,39.9,0.1880862743785118
92,2018-12-14 04:00:00,36.65914187982177,40.0,0.08352145300445582
93,2018-12-14 03:00:00,38.526188462773874,36.6,0.05262810007578886
94,2018-12-14 02:00:00,39.61962800681162,41.7,0.04988901662322268
95,2018-12-14 01:00:00,35.80524174266272,41.6,0.1392970734936846
96,2018-12-14 00:00:00,29.43706682971109,30.3,0.02847964258379247
119,2018-12-13 01:00:00,38.52233397921782,43.7,0.11848205997213233
120,2018-12-13 00:00:00,52.07112337445881,49.6,0.04982103577537914
121,2018-12-12 23:00:00,63.258723865511016,63.1,0.0025154336848021257
122,2018-12-12 22:00:00,71.10536585117876,68.1,0.04413165713918893
123,2018-12-12 21:00:00,77.16511528242401,74.1,0.041364578710175674
124,2018-12-12 20:00:00,56.52183833403808,77.2,0.26785183505132026
125,2018-12-12 19:00:00,49.4599580019257,59.3,0.1659366272862445
126,2018-12-12 18:00:00,29.06412820228708,52.8,0.4495430264718356
127,2018-12-12 17:00:00,38.400833981422814,44.4,0.13511635176975642
128,2018-12-12 16:00:00,32.513243999731664,37.7,0.13757973475512836
129,2018-12-12 15:00:00,32.81637180141019,37.6,0.12722415421781408
134,2018-12-12 10:00:00,31.483116060679652,35.2,0.10559329373069176
135,2018-12-12 09:00:00,34.83581959792704,35.4,0.015937299493586344
