,时间,东铁匠营街道,东铁匠营街道_root,相对偏差
12,2018-12-17 12:00:00,30.857838516191187,39.2,0.21281024193389836
13,2018-12-17 11:00:00,32.61862633395246,37.3,0.1255059964087811
30,2018-12-16 18:00:00,92.98406433690869,84.5,0.10040312824744009
31,2018-12-16 17:00:00,39.2490512609842,49.5,0.20708987351547065
33,2018-12-16 15:00:00,42.06815387475313,30.7,0.3702981718160629
34,2018-12-16 14:00:00,62.267987254432605,53.7,0.1595528352780745
35,2018-12-16 13:00:00,75.82194260609671,57.3,0.32324507165962857
36,2018-12-16 12:00:00,99.9612653769378,85.2,0.17325428846171126
37,2018-12-16 11:00:00,109.12289899850309,91.0,0.1991527362472867
38,2018-12-16 10:00:00,110.61546045226615,88.0,0.2569938687757517
39,2018-12-16 09:00:00,115.21409804758315,88.2,0.30628229078892455
40,2018-12-16 08:00:00,124.96785898431749,93.2,0.3408568560549086
41,2018-12-16 07:00:00,129.68401343296034,101.3,0.2801975659719679
42,2018-12-16 06:00:00,120.9374047646961,84.3,0.43460741120635943
43,2018-12-16 05:00:00,114.59302268200553,82.6,0.3873247298063624
44,2018-12-16 04:00:00,117.77554819524678,84.4,0.3954448838299381
45,2018-12-16 03:00:00,122.06355141258884,91.4,0.33548743339812725
46,2018-12-16 02:00:00,130.30163195926355,103.0,0.265064387954015
47,2018-12-16 01:00:00,120.9565699230454,93.2,0.29781727385241835
48,2018-12-16 00:00:00,123.0060286880298,95.9,0.2826488914288821
49,2018-12-15 23:00:00,118.82914333216273,95.2,0.24820528710254963
50,2018-12-15 22:00:00,128.8748068571681,103.9,0.24037350199391808
51,2018-12-15 21:00:00,123.19015966772913,107.8,0.14276585962642985
52,2018-12-15 20:00:00,137.85076762738697,115.4,0.19454737978671546
53,2018-12-15 19:00:00,118.52455879087647,101.2,0.17119129239996508
54,2018-12-15 18:00:00,94.30601982328422,81.4,0.1585506120796586
55,2018-12-15 17:00:00,90.89934614312764,79.4,0.1448280370670987
56,2018-12-15 16:00:00,96.06446398894633,80.3,0.19631960135674137
57,2018-12-15 15:00:00,93.09600782170011,77.8,0.19660678434061846
58,2018-12-15 14:00:00,84.62588876892333,72.2,0.17210372256126494
59,2018-12-15 13:00:00,82.61631864806203,70.2,0.17687063601227965
60,2018-12-15 12:00:00,81.86178772697767,69.1,0.18468578476089254
61,2018-12-15 11:00:00,83.01155804063363,68.0,0.22075820647990632
62,2018-12-15 10:00:00,80.88707267302472,66.0,0.2255617071670412
63,2018-12-15 09:00:00,80.15541795561779,65.5,0.22374683901706555
64,2018-12-15 08:00:00,77.1892703512526,62.9,0.22717440939988243
65,2018-12-15 07:00:00,75.27181943695732,62.3,0.2082154002721881
66,2018-12-15 06:00:00,75.0210517040909,63.8,0.1758785533556567
67,2018-12-15 05:00:00,73.65000583677559,62.0,0.18790331994799342
68,2018-12-15 04:00:00,75.12945019778127,64.7,0.16119706642629464
69,2018-12-15 03:00:00,80.9322771485374,63.4,0.2765343398822933
70,2018-12-15 02:00:00,85.50793494014437,66.0,0.2955747718203692
71,2018-12-15 01:00:00,80.29971180527559,60.9,0.3185502759486961
72,2018-12-15 00:00:00,70.24301883340284,59.8,0.1746324219632583
74,2018-12-14 22:00:00,60.86350713034871,54.2,0.12294293598429344
75,2018-12-14 21:00:00,58.844327076449076,53.5,0.09989396404577712
76,2018-12-14 20:00:00,52.43354152306286,51.2,0.02409260787232137
77,2018-12-14 19:00:00,48.023073920702274,50.0,0.03953852158595453
78,2018-12-14 18:00:00,41.72183268782579,50.5,0.17382509529057844
79,2018-12-14 17:00:00,46.714172184713945,54.3,0.1397021697106087
80,2018-12-14 16:00:00,55.954338560535334,61.4,0.08869155438867533
81,2018-12-14 15:00:00,69.8169223513708,69.0,0.011839454367692842
82,2018-12-14 14:00:00,86.78206941057474,77.4,0.121215367061689
83,2018-12-14 13:00:00,67.2071046151963,68.2,0.014558583354892999
84,2018-12-14 12:00:00,57.37594123610055,57.9,0.009051101276328964
85,2018-12-14 11:00:00,38.7207618910213,36.1,0.07259728229975888
91,2018-12-14 05:00:00,34.24734579549012,30.6,0.1191943070421607
92,2018-12-14 04:00:00,34.731235755306635,33.2,0.04612155889477807
119,2018-12-13 01:00:00,46.95526671092795,48.0,0.021765276855667686
120,2018-12-13 00:00:00,62.725539287541565,57.6,0.08898505707537437
121,2018-12-12 23:00:00,74.1384003585233,64.7,0.14587944912709885
122,2018-12-12 22:00:00,96.3452568672807,80.3,0.19981639934347073
123,2018-12-12 21:00:00,88.58225663455065,83.1,0.06597180065644587
124,2018-12-12 20:00:00,75.91533190743998,71.4,0.06323994268123209
125,2018-12-12 19:00:00,63.24696599458077,65.0,0.02696975392952663
126,2018-12-12 18:00:00,48.060098754916936,57.2,0.15978848330564802
127,2018-12-12 17:00:00,40.93882971053833,45.0,0.0902482286547038
128,2018-12-12 16:00:00,42.283006393501,52.6,0.1961405628611978
129,2018-12-12 15:00:00,41.56908525889976,46.5,0.10604117722796212
163,2018-12-11 05:00:00,42.4823290155344,45.8,0.072438231101869
164,2018-12-11 04:00:00,62.140507160009896,60.3,0.030522506799500818
165,2018-12-11 03:00:00,63.15216347301664,62.6,0.008820502763844107
166,2018-12-11 02:00:00,63.60946254884414,62.1,0.024306965359809033
167,2018-12-11 01:00:00,67.71896109874031,62.4,0.08523976119776137
168,2018-12-11 00:00:00,77.68568148324704,67.6,0.14919647164566632
169,2018-12-10 23:00:00,60.08043307356369,57.7,0.041255339229873254
170,2018-12-10 22:00:00,57.63250474173059,50.7,0.13673579372249683
