,时间,马家堡街道,马家堡街道_root,相对偏差
30,2018-12-16 18:00:00,126.09496300005493,55.2,1.2843290398560674
31,2018-12-16 17:00:00,77.72144564068365,45.7,0.7006880884175853
34,2018-12-16 14:00:00,75.21062155283606,49.9,0.507226884826374
35,2018-12-16 13:00:00,88.76671256670188,56.7,0.5655504861852183
36,2018-12-16 12:00:00,111.08278704101888,52.0,1.1362074430965168
37,2018-12-16 11:00:00,122.61368962415547,56.4,1.174001589080771
38,2018-12-16 10:00:00,123.5170577189501,52.4,1.3571957579952307
39,2018-12-16 09:00:00,126.4642984971801,51.0,1.4796921273956882
40,2018-12-16 08:00:00,125.80069205241684,48.8,1.5778830338610008
41,2018-12-16 07:00:00,132.2669308677787,54.3,1.4358550804379138
42,2018-12-16 06:00:00,138.45437924685498,62.7,1.2082038157393138
43,2018-12-16 05:00:00,138.1366745332617,64.8,1.1317388045256436
44,2018-12-16 04:00:00,143.88434276328658,68.4,1.1035722626211486
45,2018-12-16 03:00:00,147.96147982066594,82.1,0.8022104728461139
46,2018-12-16 02:00:00,150.82902216849908,77.6,0.9436729660889058
47,2018-12-16 01:00:00,145.14692862308505,74.7,0.9430646402019416
48,2018-12-16 00:00:00,146.0627533237821,76.9,0.8993856088918346
49,2018-12-15 23:00:00,143.72264729325747,82.0,0.7527152108933838
50,2018-12-15 22:00:00,147.84192959674263,86.9,0.7012880275804675
51,2018-12-15 21:00:00,143.07792357025485,74.9,0.9102526511382489
52,2018-12-15 20:00:00,138.21572205083447,68.5,1.0177477671654667
53,2018-12-15 19:00:00,125.27913132495206,58.6,1.1378691352380899
54,2018-12-15 18:00:00,106.75882461968875,48.6,1.1966836341499743
55,2018-12-15 17:00:00,98.01494712724885,50.4,0.9447410144295406
56,2018-12-15 16:00:00,99.53425712597813,52.8,0.8851185061738283
57,2018-12-15 15:00:00,97.24888823947141,62.1,0.5660046415373818
58,2018-12-15 14:00:00,89.75471433053806,64.0,0.40241741141465726
59,2018-12-15 13:00:00,85.3737081478353,64.1,0.33188312243112805
60,2018-12-15 12:00:00,86.77950014870827,62.5,0.38847200237933227
61,2018-12-15 11:00:00,90.36739968608377,62.4,0.44819550778980405
62,2018-12-15 10:00:00,87.13954949825815,63.0,0.38316745235330396
63,2018-12-15 09:00:00,88.13301579921678,60.6,0.45434019470654746
64,2018-12-15 08:00:00,87.32124791557182,60.0,0.45535413192619695
65,2018-12-15 07:00:00,82.19005752321625,60.0,0.36983429205360424
66,2018-12-15 06:00:00,80.47159021840875,59.7,0.3479328344792085
67,2018-12-15 05:00:00,82.66606278488997,59.3,0.39403141289865057
68,2018-12-15 04:00:00,82.89056735556447,60.8,0.3633316999270473
69,2018-12-15 03:00:00,86.07826939637962,60.6,0.42043348838910266
70,2018-12-15 02:00:00,89.12373256058818,58.4,0.5260913109689758
71,2018-12-15 01:00:00,88.82514127084208,59.2,0.5004246836290891
72,2018-12-15 00:00:00,81.20748452186125,61.2,0.3269196817297589
74,2018-12-14 22:00:00,68.1301698878503,59.4,0.14697255703451687
75,2018-12-14 21:00:00,59.72645168120783,51.1,0.1688151013934995
76,2018-12-14 20:00:00,54.128388890680405,45.2,0.1975307276699204
77,2018-12-14 19:00:00,50.06085094292545,42.1,0.1890938466253075
78,2018-12-14 18:00:00,47.114150960751246,39.2,0.20189160614161333
79,2018-12-14 17:00:00,51.50623901473038,43.1,0.19504034836961442
80,2018-12-14 16:00:00,62.677759967473136,53.2,0.17815338284723933
81,2018-12-14 15:00:00,81.79584148606952,59.4,0.37703436845234883
82,2018-12-14 14:00:00,90.98076074028702,60.1,0.513822974048037
83,2018-12-14 13:00:00,79.1745903015876,54.6,0.4500840714576483
84,2018-12-14 12:00:00,64.51584388911841,47.9,0.34688609371854734
90,2018-12-14 06:00:00,53.15900816675007,35.2,0.5101990956463087
91,2018-12-14 05:00:00,53.97873328295786,36.8,0.46681340442820285
92,2018-12-14 04:00:00,55.788063936941995,48.2,0.15742871238468864
93,2018-12-14 03:00:00,51.2023703491856,58.7,0.12772793272256222
94,2018-12-14 02:00:00,40.39828491284885,34.3,0.1777925630568179
120,2018-12-13 00:00:00,67.68301676583029,45.1,0.5007320790649731
121,2018-12-12 23:00:00,91.6477052037781,57.4,0.5966499164421273
122,2018-12-12 22:00:00,114.46966766657862,49.0,1.3361156666648697
123,2018-12-12 21:00:00,110.32320004622956,48.4,1.2794049596328423
