,时间,右安门街道,右安门街道_root,相对偏差
30,2018-12-16 18:00:00,124.18716201933287,56.9,1.1825511778441629
31,2018-12-16 17:00:00,72.62566210863842,40.4,0.797664903679169
34,2018-12-16 14:00:00,73.54776583499238,39.2,0.876218516198785
35,2018-12-16 13:00:00,95.22281320567552,45.3,1.102048856637429
36,2018-12-16 12:00:00,113.6319872124009,53.4,1.127939835438219
37,2018-12-16 11:00:00,119.58066969318976,56.6,1.112732680091692
38,2018-12-16 10:00:00,118.2715869984805,58.9,1.0080065704326062
39,2018-12-16 09:00:00,123.85611694441789,60.2,1.057410580472058
40,2018-12-16 08:00:00,125.53130513095627,60.0,1.0921884188492712
41,2018-12-16 07:00:00,127.343138946746,60.6,1.1013719298142903
42,2018-12-16 06:00:00,133.23882670900915,64.3,1.0721434946968764
43,2018-12-16 05:00:00,125.90045176700879,61.5,1.0471618173497363
44,2018-12-16 04:00:00,128.61005153060867,63.6,1.022170621550451
45,2018-12-16 03:00:00,135.01264108306648,70.4,0.9177931972026487
46,2018-12-16 02:00:00,141.44425089015587,67.3,1.1016976358121229
47,2018-12-16 01:00:00,136.66867162060743,67.2,1.033759994354277
48,2018-12-16 00:00:00,136.54986710026998,69.8,0.9563018209207734
49,2018-12-15 23:00:00,134.44293309522777,69.0,0.9484483057279387
50,2018-12-15 22:00:00,140.47195357794988,68.6,1.0476961162966456
51,2018-12-15 21:00:00,132.86892945297194,65.4,1.0316350069261764
52,2018-12-15 20:00:00,130.9498680991264,62.9,1.0818738966474786
53,2018-12-15 19:00:00,118.8849701617926,58.6,1.0287537570271774
54,2018-12-15 18:00:00,106.04686277317067,54.8,0.9351617294374212
55,2018-12-15 17:00:00,98.82170287058383,53.5,0.8471346330950249
56,2018-12-15 16:00:00,101.33677299279307,53.1,0.9084138040074025
57,2018-12-15 15:00:00,99.50780362289069,51.4,0.9359494868266672
58,2018-12-15 14:00:00,89.9038738260263,49.8,0.8052986712053475
59,2018-12-15 13:00:00,85.92113447884238,49.0,0.7534925403845383
60,2018-12-15 12:00:00,86.6296820121252,49.2,0.7607658945553901
61,2018-12-15 11:00:00,90.01350137022284,51.0,0.7649706151024086
62,2018-12-15 10:00:00,86.06482849508954,49.7,0.731686690042043
63,2018-12-15 09:00:00,85.25987911925115,50.0,0.7051975823850231
64,2018-12-15 08:00:00,83.97761537733881,47.6,0.7642356171709833
65,2018-12-15 07:00:00,79.75004639579929,48.2,0.6545652779211469
66,2018-12-15 06:00:00,77.70732666794065,48.5,0.602212920988467
67,2018-12-15 05:00:00,78.55174684114492,47.1,0.6677653257143294
68,2018-12-15 04:00:00,79.85295677518512,48.3,0.6532703266083877
69,2018-12-15 03:00:00,84.80243726427584,48.7,0.7413231471103867
70,2018-12-15 02:00:00,91.51245876774558,50.7,0.8049794628746663
71,2018-12-15 01:00:00,94.07679050096041,52.3,0.7987914053720921
72,2018-12-15 00:00:00,80.69854957763847,48.5,0.6638876201574943
74,2018-12-14 22:00:00,70.34362674661257,46.3,0.5193007936633386
75,2018-12-14 21:00:00,62.59336222574139,40.8,0.534151034944642
76,2018-12-14 20:00:00,56.038412328616246,37.1,0.5104693350031333
77,2018-12-14 19:00:00,51.36613315854595,34.0,0.510768622310175
78,2018-12-14 18:00:00,49.90878922521032,32.8,0.5216094275978758
79,2018-12-14 17:00:00,55.6823675455228,35.2,0.5818854416341703
80,2018-12-14 16:00:00,66.95279222386873,41.6,0.6094421207660751
81,2018-12-14 15:00:00,78.98486796029552,46.5,0.6985993109740971
82,2018-12-14 14:00:00,84.38947442507313,47.6,0.7728881181738052
83,2018-12-14 13:00:00,74.83833634305599,43.2,0.7323688968299995
84,2018-12-14 12:00:00,60.723647166191704,34.6,0.7550187042251937
91,2018-12-14 05:00:00,58.873653760632344,44.9,0.3112172329762215
92,2018-12-14 04:00:00,64.08561954194639,48.7,0.3159264793007471
93,2018-12-14 03:00:00,56.35869702586445,42.4,0.32921455249680315
119,2018-12-13 01:00:00,55.05528117571909,34.0,0.6192729757564438
120,2018-12-13 00:00:00,70.56930271840525,41.9,0.6842315684583593
121,2018-12-12 23:00:00,71.74148021461583,42.7,0.6801283422626658
122,2018-12-12 22:00:00,94.04499163634132,51.6,0.8225773572934364
123,2018-12-12 21:00:00,95.45341297326557,55.2,0.7292284958924922
124,2018-12-12 20:00:00,72.83350306294015,47.8,0.5237134531995848
125,2018-12-12 19:00:00,54.35128604861333,35.9,0.5139633996828227
126,2018-12-12 18:00:00,42.247631083386395,33.7,0.253638904551525
164,2018-12-11 04:00:00,62.685871399857376,40.7,0.5401934004878961
165,2018-12-11 03:00:00,70.41447711597553,45.8,0.5374339981654047
166,2018-12-11 02:00:00,69.7576183423268,44.5,0.5675869290410516
167,2018-12-11 01:00:00,74.5970532503122,49.1,0.5192882535705132
168,2018-12-11 00:00:00,82.95395448255468,49.7,0.6690936515604562
169,2018-12-10 23:00:00,70.63000864152694,45.8,0.5421399266708941
170,2018-12-10 22:00:00,65.52777555163799,41.2,0.5904799891174267
171,2018-12-10 21:00:00,63.17737507151898,41.6,0.5186869007576678
172,2018-12-10 20:00:00,60.94835271655887,41.8,0.4580945625971023
174,2018-12-10 18:00:00,60.880223653411704,41.5,0.46699334104606516
175,2018-12-10 17:00:00,58.202035271477996,40.6,0.43354766678517226
176,2018-12-10 16:00:00,56.378453488801,39.0,0.44560137150771795
177,2018-12-10 15:00:00,58.822232342993004,40.0,0.4705558085748251
178,2018-12-10 14:00:00,58.66308970521851,39.8,0.47394697751805315
179,2018-12-10 13:00:00,61.06841454041588,40.9,0.49311526993681865
180,2018-12-10 12:00:00,58.46390016637758,40.6,0.43999754104378264
181,2018-12-10 11:00:00,52.50894458467324,38.4,0.36742043189253226
182,2018-12-10 10:00:00,46.02475033548618,33.1,0.3904758409512441
183,2018-12-10 09:00:00,46.975050916892954,30.6,0.5351323829049984
185,2018-12-10 07:00:00,47.242551135585906,30.9,0.5288851500189614
186,2018-12-10 06:00:00,47.76446787148813,31.3,0.5260213377472246
187,2018-12-10 05:00:00,55.969971812067485,36.9,0.5168014041210701
188,2018-12-10 04:00:00,64.54657748744165,41.8,0.5441764949148722
189,2018-12-10 03:00:00,65.11676458635117,41.7,0.5615531075863588
190,2018-12-10 02:00:00,56.46109859034064,35.0,0.613174245438304
191,2018-12-10 01:00:00,83.12968302035804,52.5,0.5834225337211056
192,2018-12-10 00:00:00,99.41092310785703,57.2,0.7379532011863116
193,2018-12-09 23:00:00,100.31236745749014,57.2,0.7537127177882891
194,2018-12-09 22:00:00,104.05861802667775,56.6,0.8384914845702782
195,2018-12-09 21:00:00,98.78345083191891,56.4,0.7514796246794134
196,2018-12-09 20:00:00,105.1797475702256,59.3,0.7736888291774976
197,2018-12-09 19:00:00,104.95482793481393,57.2,0.8348746142449988
198,2018-12-09 18:00:00,90.58184320780967,55.8,0.6233305234374493
199,2018-12-09 17:00:00,85.79659486844439,50.3,0.7056977111022742
200,2018-12-09 16:00:00,81.18825552387204,52.0,0.5613126062283086
201,2018-12-09 15:00:00,65.4840545170826,43.5,0.5053805636110942
202,2018-12-09 14:00:00,53.262306696735735,33.1,0.6091331328318952
207,2018-12-09 09:00:00,18.641408000600503,43.5,0.5714618850436666
208,2018-12-09 08:00:00,14.7462308021884,45.4,0.6751931541368194
209,2018-12-09 07:00:00,16.151298727307108,44.3,0.6354108639434062
210,2018-12-09 06:00:00,16.05380869810714,45.8,0.6494801594299751
211,2018-12-09 05:00:00,15.657178691453435,45.2,0.6536022413395258
212,2018-12-09 04:00:00,15.06159419674134,43.0,0.6497303675176432
213,2018-12-09 03:00:00,14.74655034164439,39.6,0.6276123651099902
214,2018-12-09 02:00:00,13.950850086650533,38.8,0.6404420080760171
215,2018-12-09 01:00:00,11.40736252950533,34.3,0.6674238329590283
290,2018-12-05 22:00:00,58.637252843098565,33.9,0.7297124732477454
291,2018-12-05 21:00:00,63.04526928317281,39.3,0.6042053252715728
292,2018-12-05 20:00:00,63.29672429862336,38.8,0.63135887367586
293,2018-12-05 19:00:00,67.43332359686426,38.0,0.7745611472859014
294,2018-12-05 18:00:00,62.393467758856254,33.8,0.8459605845815461
295,2018-12-05 17:00:00,56.61136770898486,31.0,0.8261731519027373
299,2018-12-05 13:00:00,61.499687883661615,32.3,0.9040151047573257
358,2018-12-03 02:00:00,149.57288149975952,45.4,2.294556861228183
359,2018-12-03 01:00:00,188.48771256865126,68.6,1.7476342940036629
360,2018-12-03 00:00:00,193.52853761174856,86.8,1.2295914471399605
361,2018-12-02 23:00:00,190.23903598262706,86.3,1.2043920739585987
363,2018-12-02 21:00:00,181.60948209222343,80.0,1.270118526152793
364,2018-12-02 20:00:00,193.60241301816032,85.4,1.2670071781985985
365,2018-12-02 19:00:00,188.56462343563732,89.1,1.1163257400183764
366,2018-12-02 18:00:00,199.89084633515617,86.1,1.3216126171330567
367,2018-12-02 17:00:00,198.71402938034066,89.1,1.2302360199813769
368,2018-12-02 16:00:00,200.4170388588218,87.7,1.285256999530465
369,2018-12-02 15:00:00,199.79625091700842,85.1,1.3477820319272436
370,2018-12-02 14:00:00,197.91002609680055,86.8,1.2800694250783475
371,2018-12-02 13:00:00,192.35151765901935,89.9,1.1396164366965444
372,2018-12-02 12:00:00,181.1894565239973,89.4,1.026727701610708
373,2018-12-02 11:00:00,168.18715411215786,87.7,0.9177554630804772
374,2018-12-02 10:00:00,164.92333057136355,88.9,0.8551555744810297
375,2018-12-02 09:00:00,169.4711642617483,90.9,0.8643692438036116
376,2018-12-02 08:00:00,176.6520589567436,89.0,0.9848545950195908
377,2018-12-02 07:00:00,166.39895908386498,83.1,1.002394212802226
378,2018-12-02 06:00:00,157.78753916744594,83.4,0.8919369204729728
379,2018-12-02 05:00:00,175.9085278547062,90.2,0.9502054085887603
380,2018-12-02 04:00:00,181.22319519269695,90.9,0.9936545125709234
381,2018-12-02 03:00:00,178.99511771061472,89.4,1.0021825247272338
382,2018-12-02 02:00:00,177.55012103541148,82.5,1.1521226792171089
383,2018-12-02 01:00:00,183.09595257916914,92.1,0.988012514431804
384,2018-12-02 00:00:00,184.0142517734298,90.1,1.0423335379958913
385,2018-12-01 23:00:00,182.4867143399422,90.7,1.0119814149938502
386,2018-12-01 22:00:00,181.95684000067845,88.3,1.0606663646735952
387,2018-12-01 21:00:00,185.28470810566688,87.6,1.1151222386491655
388,2018-12-01 20:00:00,177.40240945550977,85.9,1.06522013335867
389,2018-12-01 19:00:00,185.10794354124354,87.4,1.117939857451299
390,2018-12-01 18:00:00,201.62424152912007,93.2,1.1633502309991424
391,2018-12-01 17:00:00,214.22855255242604,101.2,1.116882930359941
392,2018-12-01 16:00:00,190.86248634203966,88.3,1.1615230616312533
393,2018-12-01 15:00:00,182.18248089847052,86.4,1.1085935289174826
394,2018-12-01 14:00:00,184.115378278822,89.4,1.059456132872729
395,2018-12-01 13:00:00,175.8385757180194,86.2,1.0398906695825916
396,2018-12-01 12:00:00,165.8124193480998,80.0,1.0726552418512476
397,2018-12-01 11:00:00,127.6295228714971,61.4,1.0786567242914837
398,2018-12-01 10:00:00,97.25634449239945,54.7,0.7779953289286918
399,2018-12-01 09:00:00,88.02896789860915,56.2,0.5663517419681343
400,2018-12-01 08:00:00,74.06923310166984,49.8,0.4873339980254988
401,2018-12-01 07:00:00,80.77627856146037,49.2,0.641794279704479
402,2018-12-01 06:00:00,88.36046802619,52.4,0.6862684737822521
403,2018-12-01 05:00:00,90.09720529346721,52.6,0.7128746253510876
404,2018-12-01 04:00:00,90.63735980794095,53.4,0.6973288353546996
405,2018-12-01 03:00:00,95.53171336834984,56.1,0.7028825912361825
406,2018-12-01 02:00:00,114.95714257276393,66.7,0.7234953908960109
407,2018-12-01 01:00:00,132.32367977410397,74.7,0.7714013356640423
408,2018-12-01 00:00:00,154.2679901790679,76.5,1.0165750350204956
409,2018-11-30 23:00:00,146.65733681227852,80.0,0.8332167101534814
410,2018-11-30 22:00:00,145.55770612830563,80.5,0.8081702624634239
411,2018-11-30 21:00:00,141.2257147755779,75.9,0.8606813540919352
412,2018-11-30 20:00:00,139.74016986032217,74.0,0.8883806737881375
413,2018-11-30 19:00:00,136.74394401173032,73.2,0.8680866668269169
414,2018-11-30 18:00:00,133.4402872446411,70.2,0.900858792658705
415,2018-11-30 17:00:00,128.5746496025516,68.3,0.8824985300520001
416,2018-11-30 16:00:00,122.20175455404171,64.8,0.8858295455870635
417,2018-11-30 15:00:00,122.42406299734432,63.5,0.9279379999581783
418,2018-11-30 14:00:00,122.34260070069138,64.4,0.899729824544897
419,2018-11-30 13:00:00,107.50463548728263,55.4,0.940516886052033
