,时间,王佐镇,王佐镇_root,相对偏差
12,2018-12-17 12:00:00,59.19589476081711,60.4,0.019935517205014686
13,2018-12-17 11:00:00,58.237497600887274,51.8,0.12427601546114433
30,2018-12-16 18:00:00,143.4950098111055,99.8,0.4378257496102755
31,2018-12-16 17:00:00,134.92964459271047,94.5,0.42782692690698915
32,2018-12-16 16:00:00,95.3109803190292,87.0,0.09552850941412871
33,2018-12-16 15:00:00,81.55971972849201,73.6,0.10814836587625026
34,2018-12-16 14:00:00,79.44328841335472,64.6,0.2297722664605995
35,2018-12-16 13:00:00,123.23239937302658,98.4,0.25236178224620504
36,2018-12-16 12:00:00,109.5346423711308,95.3,0.14936665657010287
37,2018-12-16 11:00:00,80.695635492315,61.5,0.31212415434658547
38,2018-12-16 10:00:00,93.61653121939487,71.6,0.3074934527848447
39,2018-12-16 09:00:00,98.93022081594951,78.4,0.26186506142792737
40,2018-12-16 08:00:00,92.5295929436431,85.8,0.0784334841916445
41,2018-12-16 07:00:00,107.63151869979198,88.8,0.21206665202468453
42,2018-12-16 06:00:00,99.18072024719521,93.0,0.0664593574967227
43,2018-12-16 05:00:00,118.83620917394057,97.3,0.22133822378150644
44,2018-12-16 04:00:00,122.72726036850396,101.0,0.21512138978716794
45,2018-12-16 03:00:00,127.90474608608581,105.4,0.2135175150482524
46,2018-12-16 02:00:00,134.97798596584116,99.2,0.3606651811072697
47,2018-12-16 01:00:00,116.88415845148411,98.6,0.18543771248969695
48,2018-12-16 00:00:00,141.3108816699687,104.0,0.35875847759585283
49,2018-12-15 23:00:00,145.2022373638582,106.6,0.3621223017247486
50,2018-12-15 22:00:00,145.2615593996229,104.8,0.38608358205747056
51,2018-12-15 21:00:00,138.78709776524735,97.4,0.42491886822635877
52,2018-12-15 20:00:00,128.34463430661836,95.4,0.3453315965054335
53,2018-12-15 19:00:00,120.22581645364241,97.4,0.23435129829201645
54,2018-12-15 18:00:00,120.06793679591149,97.9,0.2264344922973594
55,2018-12-15 17:00:00,115.81655669690724,93.6,0.23735637496695777
56,2018-12-15 16:00:00,113.93568649176127,90.2,0.2631450830572203
57,2018-12-15 15:00:00,112.46244696689234,89.3,0.259377905564304
58,2018-12-15 14:00:00,92.41363364591615,86.1,0.07332907834978114
