,时间,西罗园街道,西罗园街道_root,相对偏差
30,2018-12-16 18:00:00,118.14587076575178,55.3,1.1364533592360178
31,2018-12-16 17:00:00,62.12014752344063,36.3,0.7112988298468494
33,2018-12-16 15:00:00,51.35478176294265,30.8,0.6673630442513847
34,2018-12-16 14:00:00,74.31434095370801,42.1,0.7651862459313067
35,2018-12-16 13:00:00,94.04801266295026,46.8,1.00957292014851
36,2018-12-16 12:00:00,116.42335769116019,55.4,1.1015046514649856
37,2018-12-16 11:00:00,123.26887783988396,59.3,1.0787331844837094
38,2018-12-16 10:00:00,123.79845149143841,56.7,1.1833942061982083
39,2018-12-16 09:00:00,126.32637506210938,54.8,1.305225822301266
40,2018-12-16 08:00:00,128.4588082446271,57.4,1.2379583317879286
41,2018-12-16 07:00:00,134.57706607093908,61.0,1.2061814109990014
42,2018-12-16 06:00:00,137.79717435016167,63.8,1.1598303189680512
43,2018-12-16 05:00:00,129.711970970154,60.9,1.129917421513202
44,2018-12-16 04:00:00,132.80372843051578,57.0,1.3298899724651891
45,2018-12-16 03:00:00,137.63336937937743,58.8,1.3407035608737659
46,2018-12-16 02:00:00,145.92100782900818,61.6,1.3688475296916913
47,2018-12-16 01:00:00,138.68859531032044,59.1,1.3466767395993307
48,2018-12-16 00:00:00,138.2096091413589,56.8,1.43326776657322
49,2018-12-15 23:00:00,135.72622177594334,57.4,1.3645683236227062
50,2018-12-15 22:00:00,142.25099945869215,60.5,1.3512561893998702
51,2018-12-15 21:00:00,134.74106300275193,57.1,1.3597384063529234
52,2018-12-15 20:00:00,137.33885007796889,55.6,1.470123202841167
53,2018-12-15 19:00:00,128.34264009059592,55.9,1.2959327386510897
54,2018-12-15 18:00:00,108.73005305093028,48.4,1.246488699399386
55,2018-12-15 17:00:00,100.20880690373227,45.6,1.1975615549064094
56,2018-12-15 16:00:00,103.79280740893942,44.6,1.3271929912318257
57,2018-12-15 15:00:00,101.07169507457537,47.0,1.150461597331391
58,2018-12-15 14:00:00,91.82552503363492,43.4,1.1157955076874406
59,2018-12-15 13:00:00,87.85213654723994,43.8,1.005756542174428
60,2018-12-15 12:00:00,88.70745081147389,43.8,1.0252842651021437
61,2018-12-15 11:00:00,91.10126607089796,41.6,1.1899342805504318
62,2018-12-15 10:00:00,87.367474500964,38.2,1.2871066623289003
63,2018-12-15 09:00:00,87.66262659030399,35.0,1.5046464740086853
64,2018-12-15 08:00:00,85.55752082833224,34.6,1.4727607175818567
65,2018-12-15 07:00:00,81.41311790568176,34.1,1.3874814635097288
66,2018-12-15 06:00:00,79.5360358325492,35.2,1.2595464725156023
67,2018-12-15 05:00:00,80.75127396003238,34.1,1.368072550147577
68,2018-12-15 04:00:00,82.6291174666793,35.1,1.354105910731604
69,2018-12-15 03:00:00,88.43982951185745,34.2,1.5859599272472937
70,2018-12-15 02:00:00,95.68167931890933,36.3,1.635858934405216
71,2018-12-15 01:00:00,96.5867235841484,36.2,1.6681415354737126
72,2018-12-15 00:00:00,82.44251638270465,35.6,1.3158010219860856
80,2018-12-14 16:00:00,64.762888225901,30.2,1.1444664975463905
81,2018-12-14 15:00:00,80.22102932999643,35.0,1.2920294094284692
82,2018-12-14 14:00:00,88.37553757357696,35.4,1.4964841122479369
83,2018-12-14 13:00:00,76.737113985619,32.9,1.3324350755507297
121,2018-12-12 23:00:00,81.01039659957031,33.0,1.4548605030172823
122,2018-12-12 22:00:00,107.18202772601605,40.0,1.6795506931504012
123,2018-12-12 21:00:00,101.66777806271482,38.4,1.6475983870498652
124,2018-12-12 20:00:00,73.98739439367841,30.9,1.3944140580478452
