,时间,宛平地区,宛平地区_root,相对偏差
12,2018-12-17 12:00:00,46.76394476007133,50.6,0.07581136837803694
13,2018-12-17 11:00:00,43.08071636100336,46.6,0.0755211081329751
14,2018-12-17 10:00:00,41.975525052769086,50.3,0.16549651982566424
286,2018-12-06 02:00:00,44.286961100408824,41.6,0.06459041106751978
287,2018-12-06 01:00:00,58.399910908164735,57.2,0.020977463429453353
288,2018-12-06 00:00:00,58.89754639357659,55.2,0.06698453611551788
289,2018-12-05 23:00:00,55.44759699955271,53.8,0.030624479545589424
290,2018-12-05 22:00:00,64.53502225268691,51.3,0.2579926365046183
291,2018-12-05 21:00:00,70.98861535033882,63.9,0.11093294757963724
292,2018-12-05 20:00:00,63.999990511080625,63.2,0.012658077706971874
293,2018-12-05 19:00:00,64.9031407497421,62.7,0.035137811000671294
294,2018-12-05 18:00:00,60.83227478523373,59.2,0.02757220921002915
295,2018-12-05 17:00:00,59.99156085854914,56.2,0.06746549570372135
296,2018-12-05 16:00:00,61.74410307530477,53.3,0.15842594888001454
297,2018-12-05 15:00:00,52.827651231445124,50.8,0.03991439431978596
298,2018-12-05 14:00:00,48.79221099428026,45.8,0.06533211777904506
299,2018-12-05 13:00:00,46.75614713482349,43.1,0.08482939987989539
300,2018-12-05 12:00:00,38.28429968875123,40.7,0.059353816001198274
301,2018-12-05 11:00:00,35.553747192309025,38.4,0.07412116686695244
312,2018-12-05 00:00:00,27.975040579518552,31.6,0.11471390571143826
355,2018-12-03 05:00:00,108.98020501552575,30.9,2.526867476230607
356,2018-12-03 04:00:00,101.94969475240009,35.7,1.8557337465658286
357,2018-12-03 03:00:00,115.74987316923918,48.4,1.3915263051495697
358,2018-12-03 02:00:00,153.82902563140755,75.1,1.0483225783143484
359,2018-12-03 01:00:00,215.99443197979792,160.9,0.34241412044622693
360,2018-12-03 00:00:00,221.95876894260496,170.1,0.30487224540038194
361,2018-12-02 23:00:00,183.71906170200424,177.5,0.035036967335235154
363,2018-12-02 21:00:00,185.20486876771923,197.6,0.06272839692449778
364,2018-12-02 20:00:00,178.5281363187651,193.7,0.0783266065112798
365,2018-12-02 19:00:00,173.62716132071898,187.5,0.07398847295616542
366,2018-12-02 18:00:00,264.17913706085574,188.5,0.4014808332140888
367,2018-12-02 17:00:00,253.29752423753834,192.4,0.3165151987398042
368,2018-12-02 16:00:00,246.4012415940615,195.5,0.2603644071307494
369,2018-12-02 15:00:00,237.5188215855539,194.9,0.21867019797616155
370,2018-12-02 14:00:00,220.43382512293593,194.5,0.1333358618145806
371,2018-12-02 13:00:00,207.12199099548366,201.2,0.02943335484832837
372,2018-12-02 12:00:00,196.7940703611373,198.5,0.00859410397411939
373,2018-12-02 11:00:00,196.7752313561615,212.6,0.07443447151382171
374,2018-12-02 10:00:00,199.52252695532235,210.2,0.05079673189665861
375,2018-12-02 09:00:00,204.69167964867182,223.8,0.08538123481379888
376,2018-12-02 08:00:00,215.16042664394809,228.5,0.058378876831737044
377,2018-12-02 07:00:00,210.58789782895383,231.6,0.09072582975408534
378,2018-12-02 06:00:00,221.56665586383588,230.0,0.03666671363549619
379,2018-12-02 05:00:00,221.38294623124193,231.0,0.041632267397221076
380,2018-12-02 04:00:00,240.24649262323976,229.4,0.04728200794786292
381,2018-12-02 03:00:00,230.47090528649326,230.6,0.000559820960566918
382,2018-12-02 02:00:00,242.45787105099043,229.1,0.058305853561721695
383,2018-12-02 01:00:00,239.25596950654221,222.2,0.07675953873331336
384,2018-12-02 00:00:00,239.21750650198805,225.5,0.06083151442123306
385,2018-12-01 23:00:00,230.30165182364175,224.6,0.025385805091904516
386,2018-12-01 22:00:00,230.60427128979842,219.7,0.0496325502494239
387,2018-12-01 21:00:00,238.0862881060567,225.6,0.05534702174670532
388,2018-12-01 20:00:00,237.98238913735258,221.7,0.07344334297407576
389,2018-12-01 19:00:00,231.18982433409042,220.4,0.04895564579895831
390,2018-12-01 18:00:00,232.60998214825835,219.3,0.060693033051793625
391,2018-12-01 17:00:00,228.51950099603891,220.2,0.03778156673950466
392,2018-12-01 16:00:00,215.21388873210856,202.4,0.06330972693729521
393,2018-12-01 15:00:00,194.72824003886163,171.6,0.13477995360641978
394,2018-12-01 14:00:00,188.61355792212728,168.7,0.11804124435167337
395,2018-12-01 13:00:00,185.87636274617438,168.6,0.10246952992985994
396,2018-12-01 12:00:00,155.098251042787,146.4,0.059414283079146216
397,2018-12-01 11:00:00,104.25749296569941,97.6,0.06821201809118257
398,2018-12-01 10:00:00,85.8371034533533,74.8,0.14755485900204943
399,2018-12-01 09:00:00,87.24967161759137,76.1,0.1465134246726857
400,2018-12-01 08:00:00,93.93064481089246,89.1,0.054215991143574255
401,2018-12-01 07:00:00,93.43802061043093,79.3,0.1782852535993812
402,2018-12-01 06:00:00,88.91912220922876,75.4,0.17929870304016915
403,2018-12-01 05:00:00,85.1374289537671,77.5,0.09854747037118837
404,2018-12-01 04:00:00,99.12152103449452,89.2,0.11122781428805513
405,2018-12-01 03:00:00,107.73000051030087,99.1,0.08708375893340943
406,2018-12-01 02:00:00,115.89350614049269,106.5,0.08820193559148065
407,2018-12-01 01:00:00,125.0240834791546,115.4,0.08339760380549906
408,2018-12-01 00:00:00,130.7559512093318,118.0,0.10810128143501535
409,2018-11-30 23:00:00,145.19038327210808,123.6,0.1746794763115541
410,2018-11-30 22:00:00,142.55766398045446,135.1,0.055201065732453515
411,2018-11-30 21:00:00,149.2428372481926,142.1,0.05026627197883598
412,2018-11-30 20:00:00,157.6951913780033,137.0,0.15105979108031606
413,2018-11-30 19:00:00,153.2546033963147,137.7,0.11296008276190792
414,2018-11-30 18:00:00,153.63847039855943,135.8,0.13135839763298543
415,2018-11-30 17:00:00,140.99959214185353,128.9,0.0938680538545657
416,2018-11-30 16:00:00,132.8592720435542,124.7,0.06543121125544664
417,2018-11-30 15:00:00,126.30058447171791,114.6,0.10209934093994692
418,2018-11-30 14:00:00,117.41437627762235,109.6,0.07129905362794123
419,2018-11-30 13:00:00,110.38659560879543,102.1,0.08116156325950477
420,2018-11-30 12:00:00,100.62558838123147,86.9,0.15794693188989023
421,2018-11-30 11:00:00,92.51300435363271,78.5,0.17850960960041667
422,2018-11-30 10:00:00,83.14399806814245,65.2,0.2752146942966633
423,2018-11-30 09:00:00,75.96175452285965,61.4,0.23716212577947315
424,2018-11-30 08:00:00,72.92414710858552,61.7,0.1819148639965237
425,2018-11-30 07:00:00,77.9949787138816,65.3,0.19441008750201527
426,2018-11-30 06:00:00,84.58633225352958,66.7,0.26816090335126797
427,2018-11-30 05:00:00,90.82020135036548,65.2,0.3929478734718631
428,2018-11-30 04:00:00,83.9195513101757,62.3,0.34702329550843836
429,2018-11-30 03:00:00,77.65189026652115,62.2,0.24842267309519528
430,2018-11-30 02:00:00,81.26182472585242,64.8,0.25404050502858677
431,2018-11-30 01:00:00,89.5131047007082,75.0,0.1935080626761093
432,2018-11-30 00:00:00,90.10877027711446,75.1,0.1998504697352126
433,2018-11-29 23:00:00,87.93143209189151,72.3,0.21620238024746213
434,2018-11-29 22:00:00,87.4629371996441,71.6,0.22154940222966632
435,2018-11-29 21:00:00,81.73515913514905,69.0,0.18456752369781226
436,2018-11-29 20:00:00,78.91208102213093,61.4,0.2852130459630446
437,2018-11-29 19:00:00,71.81187736444382,59.2,0.21303846899398332
438,2018-11-29 18:00:00,71.25780644466329,58.4,0.22016791857300153
439,2018-11-29 17:00:00,71.28177361390122,59.5,0.19801300191430626
440,2018-11-29 16:00:00,72.68301808759016,60.6,0.19938973741897945
441,2018-11-29 15:00:00,69.38058515077353,58.4,0.18802371833516315
442,2018-11-29 14:00:00,63.08497536223021,53.1,0.1880409672736386
443,2018-11-29 13:00:00,62.573881978853194,51.3,0.21976378126419488
444,2018-11-29 12:00:00,58.008337084900305,47.4,0.22380457985021743
445,2018-11-29 11:00:00,62.22174169798923,46.3,0.3438821101077588
446,2018-11-29 10:00:00,58.959760555629416,49.0,0.20326041950264112
447,2018-11-29 09:00:00,66.80508941272569,48.8,0.36895675026077246
448,2018-11-29 08:00:00,70.97650720191558,50.7,0.3999311085190449
449,2018-11-29 07:00:00,66.10240051032935,52.3,0.2639082315550545
450,2018-11-29 06:00:00,69.68229769782134,50.8,0.3716987735791603
451,2018-11-29 05:00:00,72.75304899224504,51.5,0.4126805629562144
452,2018-11-29 04:00:00,76.38103893369968,54.0,0.4144636839574016
453,2018-11-29 03:00:00,84.22447746978625,56.3,0.49599427122178075
454,2018-11-29 02:00:00,80.87458898583267,57.8,0.3992143423154442
455,2018-11-29 01:00:00,91.78522118883377,57.8,0.587979605343145
456,2018-11-29 00:00:00,88.96770340312717,55.1,0.614658863940602
457,2018-11-28 23:00:00,90.40205349574343,56.6,0.5972094257198486
458,2018-11-28 22:00:00,95.09682055803667,57.4,0.6567390341121371
459,2018-11-28 21:00:00,95.19982251646101,57.4,0.6585334933181362
460,2018-11-28 20:00:00,92.11275028828751,55.2,0.6687092443530346
461,2018-11-28 19:00:00,98.92544380195754,54.0,0.8319526629992138
462,2018-11-28 18:00:00,81.40084129337673,51.1,0.5929714538821277
463,2018-11-28 17:00:00,71.76557123332722,49.9,0.43818780026707865
464,2018-11-28 16:00:00,66.78582133600503,48.3,0.3827292202071435
465,2018-11-28 15:00:00,68.10774240483155,48.6,0.40139387664262455
466,2018-11-28 14:00:00,67.3567112980606,49.3,0.3662618924555904
467,2018-11-28 13:00:00,66.76799715834503,49.0,0.3626121869050005
468,2018-11-28 12:00:00,61.95649548045702,46.4,0.3352692991477807
469,2018-11-28 11:00:00,60.075488591525854,45.8,0.3116918906446694
470,2018-11-28 10:00:00,54.80119400518003,38.2,0.4345862305020949
471,2018-11-28 09:00:00,47.821258451462946,33.6,0.4232517396268733
472,2018-11-28 08:00:00,58.558626643283,35.4,0.6541984927481074
