,时间,长辛店,长辛店_root,相对偏差
12,2018-12-17 12:00:00,43.4047481933643,44.4,0.022415581230533787
13,2018-12-17 11:00:00,40.16750284125317,42.7,0.0593090669495746
14,2018-12-17 10:00:00,40.34505143084121,38.4,0.050652381011489875
30,2018-12-16 18:00:00,111.62513866169584,105.9,0.054061743736504596
31,2018-12-16 17:00:00,104.46442442195153,97.6,0.07033221743802807
32,2018-12-16 16:00:00,94.8700976415384,70.0,0.3552871091648342
33,2018-12-16 15:00:00,63.14892690085435,63.1,0.0007753867013367253
34,2018-12-16 14:00:00,66.76266992438876,69.0,0.03242507355958319
35,2018-12-16 13:00:00,73.63646980492196,82.9,0.11174342816740708
36,2018-12-16 12:00:00,95.94932941710631,114.5,0.16201459024361298
37,2018-12-16 11:00:00,112.6596093739329,105.4,0.06887674927830065
38,2018-12-16 10:00:00,107.77432130556934,100.0,0.07774321305569344
39,2018-12-16 09:00:00,98.00613651053301,96.8,0.012460087918729483
40,2018-12-16 08:00:00,102.90019372894648,96.9,0.061921503910696285
41,2018-12-16 07:00:00,106.05172038081106,103.9,0.02070953205785425
42,2018-12-16 06:00:00,103.52710351402375,111.3,0.06983734488747752
43,2018-12-16 05:00:00,104.72686225342795,111.9,0.0641031076547994
44,2018-12-16 04:00:00,111.11543689026317,115.0,0.033778809649885486
45,2018-12-16 03:00:00,112.9581271747923,122.2,0.07562907385603689
46,2018-12-16 02:00:00,123.8955196103117,112.6,0.10031544946990853
47,2018-12-16 01:00:00,124.65746533122623,126.9,0.017671667996641223
48,2018-12-16 00:00:00,129.06580642153583,126.2,0.022708450249887657
49,2018-12-15 23:00:00,132.15266108673183,131.0,0.008798939593372712
50,2018-12-15 22:00:00,127.33396034497444,124.6,0.021941896829650472
51,2018-12-15 21:00:00,122.69175207184236,121.4,0.010640461876790389
52,2018-12-15 20:00:00,117.56454805631525,115.1,0.02141223333028021
53,2018-12-15 19:00:00,102.9570350666636,106.5,0.03326727636935593
54,2018-12-15 18:00:00,96.89827473384827,91.9,0.054388190792690555
55,2018-12-15 17:00:00,95.93865887098632,89.6,0.07074396061368664
56,2018-12-15 16:00:00,96.40136869569247,93.3,0.03324082203314546
57,2018-12-15 15:00:00,92.52851043755658,84.2,0.09891342562418733
58,2018-12-15 14:00:00,89.61698521986389,86.8,0.03245374677262552
59,2018-12-15 13:00:00,85.90584384327187,83.4,0.030046089247864047
60,2018-12-15 12:00:00,79.96503192545697,84.7,0.05590281079743841
61,2018-12-15 11:00:00,81.41978453755148,85.2,0.044368726085076575
62,2018-12-15 10:00:00,79.25033447493871,69.9,0.13376730293188419
63,2018-12-15 09:00:00,75.00128253969662,84.3,0.11030507070348018
64,2018-12-15 08:00:00,74.73414856708747,69.2,0.0799732451891253
65,2018-12-15 07:00:00,73.86568162357071,68.9,0.07207085085008276
66,2018-12-15 06:00:00,70.95049176189625,73.6,0.03599875323510529
67,2018-12-15 05:00:00,74.11399867236375,73.2,0.012486320660706917
68,2018-12-15 04:00:00,76.51174729101315,66.5,0.15055259084230302
69,2018-12-15 03:00:00,77.27914727573898,84.9,0.08976269404312164
70,2018-12-15 02:00:00,80.74986035154373,84.3,0.042113163089635426
71,2018-12-15 01:00:00,86.04217508264122,91.8,0.06272140432852696
72,2018-12-15 00:00:00,87.91945278300138,84.1,0.04541560978598551
74,2018-12-14 22:00:00,79.26653010389894,81.9,0.032154699586093544
75,2018-12-14 21:00:00,74.90334326977205,77.2,0.02974943951072476
76,2018-12-14 20:00:00,68.92243014883339,48.4,0.42401715183540056
77,2018-12-14 19:00:00,67.3961586547873,72.6,0.07167825544370103
78,2018-12-14 18:00:00,111.96808004171557,97.9,0.1436984682504143
79,2018-12-14 17:00:00,106.41861901482079,86.5,0.23027305219446
80,2018-12-14 16:00:00,103.66414028180351,80.9,0.28138615923119287
81,2018-12-14 15:00:00,88.8820175336102,72.6,0.22427021396157304
82,2018-12-14 14:00:00,74.1939512048172,57.9,0.2814153921384663
83,2018-12-14 13:00:00,57.33844766266119,45.3,0.2657493965267371
84,2018-12-14 12:00:00,38.48071861498632,37.7,0.020708716577886466
85,2018-12-14 11:00:00,27.49249317892779,30.3,0.09265699079446235
86,2018-12-14 10:00:00,24.75947407304076,30.8,0.1961209716545208
91,2018-12-14 05:00:00,25.189176692407408,32.6,0.22732586833106114
93,2018-12-14 03:00:00,29.29500872777371,36.8,0.20393998022354046
95,2018-12-14 01:00:00,31.264373979326283,30.8,0.015077077250853325
96,2018-12-14 00:00:00,30.888816377429066,36.9,0.16290470521872447
101,2018-12-13 19:00:00,34.66282690200731,34.3,0.010578043790300683
117,2018-12-13 03:00:00,22.275641947003663,30.8,0.27676487185053045
120,2018-12-13 00:00:00,25.53734938049241,39.7,0.3567418292067403
121,2018-12-12 23:00:00,40.51430110294139,49.5,0.1815292706476487
122,2018-12-12 22:00:00,43.28955624817536,57.3,0.24451036216098848
123,2018-12-12 21:00:00,48.690647112103974,66.4,0.2667071218056631
124,2018-12-12 20:00:00,58.5970077697457,48.3,0.21318856666140176
125,2018-12-12 19:00:00,44.60308229521289,44.2,0.0091195089414681
126,2018-12-12 18:00:00,33.98858701663301,38.4,0.11488054644184861
133,2018-12-12 11:00:00,22.849397900400433,40.6,0.4372069482659992
134,2018-12-12 10:00:00,24.514553334111636,54.4,0.5493648284170655
135,2018-12-12 09:00:00,30.465852578162586,47.7,0.3613028809609521
136,2018-12-12 08:00:00,33.61132134848493,30.4,0.10563557067384638
139,2018-12-12 05:00:00,24.504227586688216,33.6,0.270707512300946
