,时间,长辛店街道,长辛店街道_root,相对偏差
12,2018-12-17 12:00:00,42.81415707327773,51.7,0.17187317072963781
13,2018-12-17 11:00:00,39.25402043107544,46.6,0.15763904654344554
14,2018-12-17 10:00:00,39.64946627500096,47.1,0.1581854294054998
15,2018-12-17 09:00:00,33.18962873978546,32.4,0.024371257400785912
30,2018-12-16 18:00:00,108.72634615350599,112.7,0.035258685416983286
31,2018-12-16 17:00:00,102.2339096515371,101.0,0.012216927242941624
32,2018-12-16 16:00:00,94.87382808706764,97.0,0.02191929807146767
33,2018-12-16 15:00:00,63.16562500363254,63.0,0.0026289683116276466
34,2018-12-16 14:00:00,66.16233819903516,69.0,0.041125533347316494
35,2018-12-16 13:00:00,72.37288309935153,65.2,0.11001354446858164
36,2018-12-16 12:00:00,94.36072685281376,54.3,0.7377666087074357
37,2018-12-16 11:00:00,110.08320918830955,56.7,0.9415028075539603
38,2018-12-16 10:00:00,106.80568585448155,57.8,0.8478492362367052
39,2018-12-16 09:00:00,97.09370766060223,53.5,0.8148356572075184
40,2018-12-16 08:00:00,101.27260954417764,55.6,0.8214498119456409
41,2018-12-16 07:00:00,105.24482772638983,55.5,0.8963032022772942
42,2018-12-16 06:00:00,102.58683156411261,55.6,0.8450868986351189
43,2018-12-16 05:00:00,103.1106382447561,56.4,0.828202805758087
44,2018-12-16 04:00:00,109.61165298863737,58.6,0.8705060236968835
45,2018-12-16 03:00:00,110.44782772836453,58.1,0.9009953137412139
46,2018-12-16 02:00:00,122.64560188347231,59.9,1.0475058745153976
47,2018-12-16 01:00:00,122.10705661314664,62.5,0.9537129058103462
48,2018-12-16 00:00:00,127.57063579309943,61.3,1.0810870439331066
49,2018-12-15 23:00:00,129.87686762340988,59.8,1.1718539736356168
50,2018-12-15 22:00:00,125.52421030319346,60.1,1.088589189736996
51,2018-12-15 21:00:00,121.09541706934847,60.0,1.018256951155808
52,2018-12-15 20:00:00,116.26796416452893,58.8,0.9773463293287235
53,2018-12-15 19:00:00,102.14968526288457,54.7,0.867453112666994
54,2018-12-15 18:00:00,97.20700877556469,50.2,0.9363945971228025
55,2018-12-15 17:00:00,95.96583053032604,52.3,0.8349107175970564
56,2018-12-15 16:00:00,95.90468299310882,52.0,0.8443208267905542
57,2018-12-15 15:00:00,92.1721694383112,52.6,0.7523226128956502
58,2018-12-15 14:00:00,88.58821249643965,51.5,0.7201594659502845
59,2018-12-15 13:00:00,84.13138832302059,50.5,0.665968085604368
60,2018-12-15 12:00:00,78.0497699911298,49.0,0.5928524487985675
61,2018-12-15 11:00:00,79.93520357734498,48.8,0.6380164667488726
62,2018-12-15 10:00:00,77.61103188740806,49.2,0.5774599977115459
63,2018-12-15 09:00:00,72.93946079529911,47.3,0.5420604819302138
64,2018-12-15 08:00:00,72.76173634623991,46.6,0.5614106512068651
65,2018-12-15 07:00:00,72.15064849049718,44.2,0.6323676129071758
66,2018-12-15 06:00:00,68.73985875838561,43.0,0.5986013664740839
67,2018-12-15 05:00:00,71.71164474052964,45.7,0.5691825982610422
68,2018-12-15 04:00:00,74.28017531906474,44.9,0.6543468890660299
69,2018-12-15 03:00:00,75.29673725962681,46.4,0.6227745099057502
70,2018-12-15 02:00:00,78.18176239771192,47.3,0.6528913826154741
71,2018-12-15 01:00:00,84.48957267486327,48.8,0.7313437023537556
72,2018-12-15 00:00:00,86.07376901538728,47.7,0.8044815307209073
74,2018-12-14 22:00:00,79.4289441378798,44.4,0.788940183285581
75,2018-12-14 21:00:00,75.5567159360836,43.9,0.7211097024164831
76,2018-12-14 20:00:00,69.76836072441588,42.3,0.6493702298916286
77,2018-12-14 19:00:00,69.04316585003616,40.0,0.726079146250904
78,2018-12-14 18:00:00,119.83841354257656,56.8,1.1098312243411368
79,2018-12-14 17:00:00,110.15057423178136,58.3,0.8893752012312413
80,2018-12-14 16:00:00,104.75397110258558,58.0,0.806102950044579
81,2018-12-14 15:00:00,88.07923432899521,53.8,0.6371604893865283
82,2018-12-14 14:00:00,73.62219274489233,47.3,0.5564945612027978
83,2018-12-14 13:00:00,56.63473095522979,37.1,0.5265426133485118
123,2018-12-12 21:00:00,46.696422957741746,34.5,0.3535195060214999
124,2018-12-12 20:00:00,58.70837079367001,39.3,0.493851674139186
164,2018-12-11 04:00:00,70.5003151455985,44.7,0.5771882582907942
165,2018-12-11 03:00:00,67.72618504226392,42.2,0.6048859014754483
166,2018-12-11 02:00:00,70.3264360735608,42.3,0.662563500556993
167,2018-12-11 01:00:00,65.90775823107528,43.8,0.5047433386090246
168,2018-12-11 00:00:00,67.00469262105067,44.2,0.515943271969472
169,2018-12-10 23:00:00,69.17142273499607,43.1,0.6049053998838995
170,2018-12-10 22:00:00,66.77419696763386,43.2,0.5456990038804133
171,2018-12-10 21:00:00,72.82573278493788,40.5,0.7981662416034045
172,2018-12-10 20:00:00,80.6469428879247,41.5,0.9432998286246914
174,2018-12-10 18:00:00,74.0351430510996,34.1,1.171118564548375
175,2018-12-10 17:00:00,55.2841013293835,38.6,0.4322306043881736
176,2018-12-10 16:00:00,53.27133603722022,37.8,0.4092946041592653
177,2018-12-10 15:00:00,52.569165736764326,38.8,0.35487540558670955
178,2018-12-10 14:00:00,56.1794525604038,39.8,0.41154403418100016
179,2018-12-10 13:00:00,58.2255322044318,40.5,0.43766746183782224
180,2018-12-10 12:00:00,55.87587519610814,37.7,0.4821187054670593
181,2018-12-10 11:00:00,53.546897085093015,35.9,0.4915570218688863
182,2018-12-10 10:00:00,51.00888544578359,33.6,0.5181215906483211
183,2018-12-10 09:00:00,57.0394336977314,31.1,0.8340653922100126
188,2018-12-10 04:00:00,45.73050122618104,30.2,0.5142550074894384
189,2018-12-10 03:00:00,52.53070646792884,32.2,0.6313883996251191
190,2018-12-10 02:00:00,55.422528018198456,34.7,0.5971910091699841
191,2018-12-10 01:00:00,59.424966774897655,38.9,0.5276341073238472
192,2018-12-10 00:00:00,66.76953888119768,38.3,0.7433299968981117
193,2018-12-09 23:00:00,93.90653626426833,41.5,1.2628081027534537
194,2018-12-09 22:00:00,114.97896022341764,52.2,1.2026620732455486
195,2018-12-09 21:00:00,113.47713828762134,57.8,0.9632722887131722
