,时间,云岗街道,云岗街道_root,相对偏差
12,2018-12-17 12:00:00,52.0838719466623,51.8,0.005480153410469148
13,2018-12-17 11:00:00,50.47093936208365,48.3,0.0449469847222288
14,2018-12-17 10:00:00,38.291699478293495,45.1,0.15096010025956777
15,2018-12-17 09:00:00,22.439733200471068,33.7,0.33413254598008707
30,2018-12-16 18:00:00,119.43936380310058,119.1,0.002849402209072898
31,2018-12-16 17:00:00,114.2717942676117,93.9,0.21695201562951746
32,2018-12-16 16:00:00,102.52342982746153,77.9,0.31609024168756766
33,2018-12-16 15:00:00,79.27760185764774,66.4,0.19393978701276704
34,2018-12-16 14:00:00,75.17048815378833,63.3,0.18752745898559764
35,2018-12-16 13:00:00,91.75933017299931,79.7,0.15130903604767013
36,2018-12-16 12:00:00,101.56482635025259,93.7,0.08393624706779707
37,2018-12-16 11:00:00,85.70139169955237,72.1,0.18864620942513705
38,2018-12-16 10:00:00,96.12139643330104,80.1,0.20001743362423285
39,2018-12-16 09:00:00,98.91731298161845,79.7,0.24112061457488643
40,2018-12-16 08:00:00,100.85776282250978,86.8,0.16195579288605746
41,2018-12-16 07:00:00,106.50755388696268,86.1,0.23702153178818455
42,2018-12-16 06:00:00,102.54291379083672,88.7,0.15606441703310842
43,2018-12-16 05:00:00,108.55352187040103,93.6,0.1597598490427461
44,2018-12-16 04:00:00,114.75858793203295,96.7,0.1867485825442911
45,2018-12-16 03:00:00,110.47516486173672,99.4,0.11142016963517816
46,2018-12-16 02:00:00,124.70225087289994,99.0,0.25961869568585794
47,2018-12-16 01:00:00,127.31956220323148,111.0,0.14702308291199537
48,2018-12-16 00:00:00,136.69256572241466,118.8,0.150610822579248
49,2018-12-15 23:00:00,138.2035030460845,117.6,0.17519985583405198
50,2018-12-15 22:00:00,131.69657532486195,119.3,0.10391094153279092
51,2018-12-15 21:00:00,125.70644631004375,114.1,0.10172170298022569
52,2018-12-15 20:00:00,121.89722817938643,108.8,0.12037893547230179
53,2018-12-15 19:00:00,113.45344216069127,95.8,0.1842739265207857
54,2018-12-15 18:00:00,106.30805729241406,93.8,0.13334815876774056
55,2018-12-15 17:00:00,105.31502047142115,90.7,0.16113583761214054
56,2018-12-15 16:00:00,107.34093083567882,90.2,0.19003249263502012
57,2018-12-15 15:00:00,102.86000234248931,92.6,0.11079916136597533
58,2018-12-15 14:00:00,95.67820525225245,92.8,0.031015142804444576
59,2018-12-15 13:00:00,87.01753121166745,89.2,0.02446713888265198
60,2018-12-15 12:00:00,82.05376499960506,92.4,0.1119722402640145
61,2018-12-15 11:00:00,84.0502932462963,85.7,0.019249787091058308
62,2018-12-15 10:00:00,89.3713248807776,74.4,0.20122748495668819
63,2018-12-15 09:00:00,81.66077588044183,71.3,0.14531242469062883
64,2018-12-15 08:00:00,84.23254992646184,71.9,0.17152364292714653
65,2018-12-15 07:00:00,84.78441809713797,73.4,0.15510106399370527
66,2018-12-15 06:00:00,81.26195245715283,69.7,0.16588167083433036
67,2018-12-15 05:00:00,85.3727365551711,70.9,0.20412886537617905
68,2018-12-15 04:00:00,92.01556128206582,77.8,0.18271929668465065
