,时间,小屯公园,小屯公园_root,相对偏差
12,2018-12-17 12:00:00,41.37402000233899,30.4,0.3609875000769404
13,2018-12-17 11:00:00,39.40717938297049,33.7,0.16935250394571177
14,2018-12-17 10:00:00,36.65152991061611,31.4,0.16724617549732848
30,2018-12-16 18:00:00,95.28505057506118,76.2,0.2504599813000154
31,2018-12-16 17:00:00,89.25424534663273,62.7,0.4235126849542699
32,2018-12-16 16:00:00,55.04147176937249,39.5,0.3934549815031011
33,2018-12-16 15:00:00,30.769076767344487,32.5,0.053259176389400406
34,2018-12-16 14:00:00,61.27837317202127,58.4,0.04928721184967928
35,2018-12-16 13:00:00,93.0374604489009,70.9,0.31223498517490683
36,2018-12-16 12:00:00,111.97300330139889,91.8,0.21974949130064153
37,2018-12-16 11:00:00,123.14152997186198,93.3,0.3198449085944479
38,2018-12-16 10:00:00,121.1900157901822,101.7,0.19164223982480036
39,2018-12-16 09:00:00,127.50959694078294,101.2,0.25997625435556265
40,2018-12-16 08:00:00,122.90151420662907,100.5,0.22290063887193107
41,2018-12-16 07:00:00,125.48954458638968,103.1,0.21716338105130642
42,2018-12-16 06:00:00,127.31646445717918,102.4,0.24332484821464037
43,2018-12-16 05:00:00,126.19638944432171,107.2,0.17720512541344877
44,2018-12-16 04:00:00,128.21574252307278,117.6,0.09026991941388421
45,2018-12-16 03:00:00,131.35328044756477,120.6,0.08916484616554542
46,2018-12-16 02:00:00,136.3600715557021,115.5,0.18060668013594885
47,2018-12-16 01:00:00,143.56308391552432,119.4,0.20237088706469272
48,2018-12-16 00:00:00,153.7670867187353,130.6,0.17738963796887677
49,2018-12-15 23:00:00,155.6517156849571,124.7,0.24820942810711394
50,2018-12-15 22:00:00,146.69120131302518,127.6,0.14961756514910016
51,2018-12-15 21:00:00,135.2602745919728,115.9,0.16704292141477822
52,2018-12-15 20:00:00,136.44419328876515,89.8,0.5194230878481643
53,2018-12-15 19:00:00,118.48110831290956,83.7,0.41554490218529927
54,2018-12-15 18:00:00,105.02647983734516,87.8,0.19620136489003606
55,2018-12-15 17:00:00,107.15198833449715,88.1,0.21625412411461015
56,2018-12-15 16:00:00,107.00962354826474,84.7,0.2633957915969863
57,2018-12-15 15:00:00,108.68429155757754,78.9,0.3774941895763945
58,2018-12-15 14:00:00,102.64113720315099,76.8,0.33647314066602857
59,2018-12-15 13:00:00,101.62227617607431,74.7,0.36040530356190503
60,2018-12-15 12:00:00,86.60896868015963,70.9,0.221565143584762
61,2018-12-15 11:00:00,80.35916290915594,74.5,0.07864648200209318
62,2018-12-15 10:00:00,95.73277668646426,83.8,0.1423959031797645
63,2018-12-15 09:00:00,86.06315048090086,80.4,0.07043719503608026
64,2018-12-15 08:00:00,92.67687956046764,80.4,0.15269750697099047
65,2018-12-15 07:00:00,86.13602621869124,82.0,0.050439344130381
66,2018-12-15 06:00:00,83.29220381838796,81.9,0.016998825621342552
67,2018-12-15 05:00:00,85.78517791108779,81.0,0.05907627050725661
68,2018-12-15 04:00:00,86.800849057598,93.8,0.0746178138848827
69,2018-12-15 03:00:00,94.93035322620513,96.9,0.020326592092826397
70,2018-12-15 02:00:00,97.27449056053847,96.4,0.009071478843759974
71,2018-12-15 01:00:00,102.86512369770112,94.9,0.0839317565616556
