,时间,新村街道,新村街道_root,相对偏差
12,2018-12-17 12:00:00,43.42959840554616,36.3,0.19640766957427444
13,2018-12-17 11:00:00,47.865011426654924,33.2,0.4417172116462325
14,2018-12-17 10:00:00,47.324745807308126,36.0,0.31457627242522573
30,2018-12-16 18:00:00,150.03257347456568,86.2,0.7405170936724557
31,2018-12-16 17:00:00,130.46033224845996,60.5,1.1563691280737185
32,2018-12-16 16:00:00,46.4142842165469,31.2,0.4876373146329136
33,2018-12-16 15:00:00,47.41701393910692,32.2,0.472578072643072
34,2018-12-16 14:00:00,84.42274959063023,59.9,0.40939481787362664
35,2018-12-16 13:00:00,97.43210793816687,48.9,0.9924766449522877
36,2018-12-16 12:00:00,114.37587185293643,66.5,0.7199379226005478
37,2018-12-16 11:00:00,123.80675376836957,77.9,0.5893036427261819
38,2018-12-16 10:00:00,124.44199715206675,77.3,0.6098576604407083
39,2018-12-16 09:00:00,117.41304102886872,69.5,0.6893962737966722
40,2018-12-16 08:00:00,115.88937030510503,58.3,0.9878108114083197
41,2018-12-16 07:00:00,116.95869954930738,71.4,0.6380770245001033
42,2018-12-16 06:00:00,116.98257149211217,75.3,0.55355340626975
43,2018-12-16 05:00:00,126.29580324157993,89.6,0.40955137546406184
44,2018-12-16 04:00:00,126.17992824681603,98.0,0.28755028823281664
45,2018-12-16 03:00:00,146.82899005248052,105.3,0.3943873699190933
46,2018-12-16 02:00:00,153.2844935752922,114.2,0.3422460032862714
47,2018-12-16 01:00:00,156.3665152331469,114.9,0.3608922126470575
48,2018-12-16 00:00:00,155.10752859764548,113.8,0.36298355533959126
49,2018-12-15 23:00:00,156.8390107122373,113.0,0.38795584701094954
50,2018-12-15 22:00:00,154.15351939880358,118.9,0.29649721950213265
51,2018-12-15 21:00:00,155.88675387201982,112.8,0.3819747683689701
52,2018-12-15 20:00:00,146.22956471816744,101.1,0.4463854076970074
53,2018-12-15 19:00:00,132.1055681866747,88.5,0.4927182845951944
54,2018-12-15 18:00:00,99.9529578288168,56.9,0.756642492597835
55,2018-12-15 17:00:00,96.02289900338786,52.0,0.8465942116036127
56,2018-12-15 16:00:00,100.35243374108303,55.8,0.7984307122057892
57,2018-12-15 15:00:00,102.11397483336282,56.9,0.7946217018165698
58,2018-12-15 14:00:00,95.2151444655478,53.7,0.7730939379059178
59,2018-12-15 13:00:00,93.92766629722705,48.8,0.9247472601890789
60,2018-12-15 12:00:00,93.02720635816348,44.6,1.0858118017525444
61,2018-12-15 11:00:00,88.81149190292325,51.1,0.737993970702999
62,2018-12-15 10:00:00,90.19106156982649,52.1,0.7311144255245007
63,2018-12-15 09:00:00,83.47862965098305,61.0,0.3685021254259517
64,2018-12-15 08:00:00,81.49539304544012,60.6,0.34480846609637167
65,2018-12-15 07:00:00,81.20487430140992,59.8,0.3579410418295973
66,2018-12-15 06:00:00,80.57738243519024,60.0,0.3429563739198374
67,2018-12-15 05:00:00,79.45024574310948,58.4,0.3604494134094089
68,2018-12-15 04:00:00,81.55369861425284,59.4,0.3729578891288357
69,2018-12-15 03:00:00,85.90904440174805,62.3,0.37895737402484836
70,2018-12-15 02:00:00,92.1611720611484,54.7,0.6848477524890019
71,2018-12-15 01:00:00,95.23309655756205,47.0,1.0262360969694053
72,2018-12-15 00:00:00,85.27350222651425,50.4,0.691934567986394
74,2018-12-14 22:00:00,76.71555392772568,60.0,0.27859256546209465
75,2018-12-14 21:00:00,71.04172643954861,55.1,0.2893235288484321
76,2018-12-14 20:00:00,62.536532093697566,48.2,0.2974384251804474
77,2018-12-14 19:00:00,59.08329083825841,47.1,0.25442231079104893
78,2018-12-14 18:00:00,53.684817815691126,44.0,0.22010949581116196
79,2018-12-14 17:00:00,55.526209389861116,45.9,0.20972133746974111
80,2018-12-14 16:00:00,72.60143917055754,53.4,0.35957751255725734
81,2018-12-14 15:00:00,85.0343684576479,53.4,0.5924039037012716
82,2018-12-14 14:00:00,85.0189400212816,59.0,0.4409989834115524
83,2018-12-14 13:00:00,79.74084467985091,63.5,0.2557613335409592
84,2018-12-14 12:00:00,69.34252447643867,51.5,0.3464567859502654
85,2018-12-14 11:00:00,39.80410708024841,40.8,0.024409140189989954
86,2018-12-14 10:00:00,37.59866579246677,39.0,0.03593164634700594
87,2018-12-14 09:00:00,38.98487758582948,46.6,0.16341464408091247
88,2018-12-14 08:00:00,38.27316389578768,42.4,0.0973310401936867
89,2018-12-14 07:00:00,33.88474452378343,38.6,0.12215687762219091
90,2018-12-14 06:00:00,37.805619043225065,35.0,0.0801605440921447
91,2018-12-14 05:00:00,38.0529690416066,33.5,0.13590952363004782
92,2018-12-14 04:00:00,38.19882922890028,35.5,0.07602335856057127
93,2018-12-14 03:00:00,37.56455592470123,37.0,0.01525826823516842
94,2018-12-14 02:00:00,36.75432088564467,40.5,0.09248590405815638
95,2018-12-14 01:00:00,37.135613003746016,41.3,0.1008326149214039
119,2018-12-13 01:00:00,36.888700558844214,40.7,0.09364372091291864
120,2018-12-13 00:00:00,46.93704067017255,42.5,0.10440095694523648
121,2018-12-12 23:00:00,63.321085157523605,58.0,0.09174284754351043
122,2018-12-12 22:00:00,101.41416205491424,77.6,0.3068835316354929
123,2018-12-12 21:00:00,106.86472249010119,87.6,0.21991692340298166
124,2018-12-12 20:00:00,73.01025801059642,68.3,0.06896424612879092
125,2018-12-12 19:00:00,63.88250341726222,61.4,0.04043165174694174
126,2018-12-12 18:00:00,42.97891110409523,56.9,0.2446588558155495
127,2018-12-12 17:00:00,47.110790040546576,46.5,0.01313526968917367
128,2018-12-12 16:00:00,45.01123866314127,41.7,0.079406202953028
129,2018-12-12 15:00:00,45.575713286302296,49.3,0.07554334104863492
130,2018-12-12 14:00:00,31.589973146234858,32.6,0.030982418827151647
135,2018-12-12 09:00:00,29.804011640705333,36.3,0.17895284736348938
136,2018-12-12 08:00:00,24.381859582929717,30.2,0.1926536561943802
